Postal Code;Country;State;City;Region
6040;United States;Connecticut;Manchester;East
78550;United States;Texas;Harlingen;Central
85705;United States;Arizona;Tucson;West
62301;United States;Illinois;Quincy;Central
2038;United States;Massachusetts;Franklin;East
33024;United States;Florida;Pembroke Pines;South
98198;United States;Washington;Des Moines;West
61604;United States;Illinois;Peoria;Central
89115;United States;Nevada;Las Vegas;West
2886;United States;Rhode Island;Warwick;East
33180;United States;Florida;Miami;South
28403;United States;North Carolina;Wilmington;South
92646;United States;California;Huntington Beach;West
40475;United States;Kentucky;Richmond;South
80027;United States;Colorado;Louisville;West
1841;United States;Massachusetts;Lawrence;East
39212;United States;Mississippi;Jackson;South
48187;United States;Michigan;Canton;Central
10801;United States;New York;New Rochelle;East
28052;United States;North Carolina;Gastonia;South
32216;United States;Florida;Jacksonville;South
47201;United States;Indiana;Columbus;Central
13021;United States;New York;Auburn;East
73071;United States;Oklahoma;Norman;Central
94521;United States;California;Concord;West
60068;United States;Illinois;Park Ridge;Central
79109;United States;Texas;Amarillo;Central
11757;United States;New York;Lindenhurst;East
90008;United States;California;Los Angeles;West
92024;United States;California;San Diego;West
77340;United States;Texas;Huntsville;Central
14609;United States;New York;Rochester;East
72701;United States;Arkansas;Fayetteville;South
92627;United States;California;Costa Mesa;West
80134;United States;Colorado;Parker;West
30318;United States;Georgia;Atlanta;South
64118;United States;Missouri;Gladstone;Central
59405;United States;Montana;Great Falls;West
48234;United States;Michigan;Detroit;Central
33801;United States;Florida;Lakeland;South
36116;United States;Alabama;Montgomery;South
85204;United States;Arizona;Mesa;West
60653;United States;Illinois;Chicago;Central
54302;United States;Wisconsin;Green Bay;Central
45503;United States;Ohio;Springfield;East
92804;United States;California;Anaheim;West
98270;United States;Washington;Marysville;West
97301;United States;Oregon;Salem;West
78041;United States;Texas;Laredo;Central
75217;United States;Texas;Dallas;Central
43123;United States;Ohio;Grove City;East
10011;United States;New York;New York City;East
48126;United States;Michigan;Dearborn;Central
31088;United States;Georgia;Warner Robins;South
94591;United States;California;Vallejo;West
92691;United States;California;Mission Viejo;West
48307;United States;Michigan;Rochester Hills;Central
7060;United States;New Jersey;Plainfield;East
85635;United States;Arizona;Sierra Vista;West
98661;United States;Washington;Vancouver;West
60505;United States;Illinois;Aurora;Central
76017;United States;Texas;Arlington;Central
40214;United States;Kentucky;Louisville;South
75081;United States;Texas;Dallas;Central
44105;United States;Ohio;Cleveland;East
75701;United States;Texas;Tyler;Central
27217;United States;North Carolina;Burlington;South
22980;United States;Virginia;Waynesboro;South
19013;United States;Pennsylvania;Chester;East
27511;United States;North Carolina;Cary;South
32137;United States;Florida;Palm Coast;South
10550;United States;New York;Mount Vernon;East
48205;United States;Michigan;Detroit;Central
33012;United States;Florida;Hialeah;South
11572;United States;New York;Oceanside;East
92105;United States;California;San Diego;West
60201;United States;Illinois;Evanston;Central
48183;United States;Michigan;Trenton;Central
55016;United States;Minnesota;Cottage Grove;Central
71111;United States;Louisiana;Bossier City;South
50315;United States;Iowa;Des Moines;Central
93534;United States;California;Lancaster;West
23223;United States;Virginia;Richmond;South
28806;United States;North Carolina;Asheville;South
92530;United States;California;Lake Elsinore;West
68104;United States;Nebraska;Omaha;Central
98026;United States;Washington;Edmonds;West
92704;United States;California;Santa Ana;West
53209;United States;Wisconsin;Milwaukee;Central
41042;United States;Kentucky;Florence;South
44052;United States;Ohio;Lorain;East
7036;United States;New Jersey;Linden;East
93905;United States;California;Salinas;West
8901;United States;New Jersey;New Brunswick;East
17602;United States;Pennsylvania;Lancaster;East
3301;United States;New Hampshire;Concord;East
21044;United States;Maryland;Columbia;East
75043;United States;Texas;Garland;Central
6360;United States;Connecticut;Norwich;East
22304;United States;Virginia;Alexandria;South
43615;United States;Ohio;Toledo;East
87401;United States;New Mexico;Farmington;West
92503;United States;California;Riverside;West
90503;United States;California;Torrance;West
78664;United States;Texas;Round Rock;Central
92054;United States;California;Oceanside;West
33433;United States;Florida;Boca Raton;South
23464;United States;Virginia;Virginia Beach;South
92563;United States;California;Murrieta;West
28540;United States;North Carolina;Jacksonville;South
52601;United States;Iowa;Burlington;Central
98502;United States;Washington;Olympia;West
20016;United States;District of Columbia;Washington;East
65109;United States;Missouri;Jefferson City;Central
63376;United States;Missouri;Saint Peters;Central
61107;United States;Illinois;Rockford;Central
33142;United States;Florida;Miami;South
78521;United States;Texas;Brownsville;Central
10701;United States;New York;Yonkers;East
94601;United States;California;Oakland;West
28110;United States;North Carolina;Monroe;South
20735;United States;Maryland;Clinton;East
92024;United States;California;Encinitas;West
30076;United States;Georgia;Roswell;South
72401;United States;Arkansas;Jonesboro;South
47374;United States;Indiana;Richmond;Central
94509;United States;California;Antioch;West
33030;United States;Florida;Homestead;South
46350;United States;Indiana;La Porte;Central
48911;United States;Michigan;Lansing;Central
44221;United States;Ohio;Cuyahoga Falls;East
89502;United States;Nevada;Reno;West
22801;United States;Virginia;Harrisonburg;South
92025;United States;California;Escondido;West
48073;United States;Michigan;Royal Oak;Central
20852;United States;Maryland;Rockville;East
33065;United States;Florida;Coral Springs;South
14215;United States;New York;Buffalo;East
33437;United States;Florida;Boynton Beach;South
39503;United States;Mississippi;Gulfport;South
93727;United States;California;Fresno;West
27834;United States;North Carolina;Greenville;South
11561;United States;New York;Long Beach;East
35630;United States;Alabama;Florence;South
31204;United States;Georgia;Macon;South
52402;United States;Iowa;Cedar Rapids;Central
2908;United States;Rhode Island;Providence;East
81001;United States;Colorado;Pueblo;West
94533;United States;California;Fairfield;West
32725;United States;Florida;Deltona;South
42071;United States;Kentucky;Murray;South
6457;United States;Connecticut;Middletown;East
11520;United States;New York;Freeport;East
90660;United States;California;Pico Rivera;West
84604;United States;Utah;Provo;West
84062;United States;Utah;Pleasant Grove;West
30080;United States;Georgia;Smyrna;South
24153;United States;Virginia;Salem;South
44134;United States;Ohio;Parma;East
36608;United States;Alabama;Mobile;South
2740;United States;Massachusetts;New Bedford;East
75061;United States;Texas;Irving;Central
8360;United States;New Jersey;Vineland;East
85301;United States;Arizona;Glendale;West
14304;United States;New York;Niagara Falls;East
27360;United States;North Carolina;Thomasville;South
92683;United States;California;Westminster;West
38301;United States;Tennessee;Jackson;South
75019;United States;Texas;Coppell;Central
91767;United States;California;Pomona;West
89031;United States;Nevada;North Las Vegas;West
18103;United States;Pennsylvania;Allentown;East
19711;United States;Delaware;Newark;East
85281;United States;Arizona;Tempe;West
92677;United States;California;Laguna Niguel;West
8302;United States;New Jersey;Bridgeton;East
2149;United States;Massachusetts;Everett;East
13601;United States;New York;Watertown;East
54915;United States;Wisconsin;Appleton;Central
98006;United States;Washington;Bellevue;West
75002;United States;Texas;Allen;Central
79907;United States;Texas;El Paso;Central
76051;United States;Texas;Grapevine;Central
75007;United States;Texas;Carrollton;Central
37167;United States;Tennessee;Smyrna;South
98031;United States;Washington;Kent;West
70506;United States;Louisiana;Lafayette;South
97224;United States;Oregon;Tigard;West
60076;United States;Illinois;Skokie;Central
75023;United States;Texas;Plano;Central
23434;United States;Virginia;Suffolk;South
46203;United States;Indiana;Indianapolis;Central
7002;United States;New Jersey;Bayonne;East
28314;United States;North Carolina;Fayetteville;South
27405;United States;North Carolina;Greensboro;South
21215;United States;Maryland;Baltimore;East
53142;United States;Wisconsin;Kenosha;Central
66062;United States;Kansas;Olathe;Central
98002;United States;Washington;Auburn;West
74133;United States;Oklahoma;Tulsa;Central
97756;United States;Oregon;Redmond;West
27604;United States;North Carolina;Raleigh;South
74403;United States;Oklahoma;Muskogee;Central
6450;United States;Connecticut;Meriden;East
42104;United States;Kentucky;Bowling Green;South
46614;United States;Indiana;South Bend;Central
6010;United States;Connecticut;Bristol;East
89015;United States;Nevada;Henderson;West
99207;United States;Washington;Spokane;West
76248;United States;Texas;Keller;Central
45014;United States;Ohio;Fairfield;East
32127;United States;Florida;Port Orange;South
97504;United States;Oregon;Medford;West
22901;United States;Virginia;Charlottesville;South
59801;United States;Montana;Missoula;West
33178;United States;Florida;Miami;South
29501;United States;South Carolina;Florence;South
97477;United States;Oregon;Springfield;West
32712;United States;Florida;Apopka;South
19601;United States;Pennsylvania;Reading;East
80020;United States;Colorado;Broomfield;West
65807;United States;Missouri;Springfield;Central
7501;United States;New Jersey;Paterson;East
73120;United States;Oklahoma;Oklahoma City;Central
23320;United States;Virginia;Chesapeake;South
79424;United States;Texas;Lubbock;Central
65203;United States;Missouri;Columbia;Central
37604;United States;Tennessee;Johnson City;South
36830;United States;Alabama;Auburn;South
92404;United States;California;San Bernardino;West
1453;United States;Massachusetts;Leominster;East
59715;United States;Montana;Bozeman;West
85345;United States;Arizona;Peoria;West
44107;United States;Ohio;Lakewood;East
8861;United States;New Jersey;Perth Amboy;East
91761;United States;California;Ontario;West
91730;United States;California;Rancho Cucamonga;West
56560;United States;Minnesota;Moorhead;Central
75150;United States;Texas;Mesquite;Central
95207;United States;California;Stockton;West
32174;United States;Florida;Ormond Beach;South
94086;United States;California;Sunnyvale;West
3820;United States;New Hampshire;Dover;East
17403;United States;Pennsylvania;York;East
77840;United States;Texas;College Station;Central
63116;United States;Missouri;Saint Louis;Central
2169;United States;Massachusetts;Quincy;East
95336;United States;California;Manteca;West
44240;United States;Ohio;Kent;East
76903;United States;Texas;San Angelo;Central
84106;United States;Utah;Salt Lake City;West
35810;United States;Alabama;Huntsville;South
37918;United States;Tennessee;Knoxville;South
72209;United States;Arkansas;Little Rock;South
48146;United States;Michigan;Lincoln Park;Central
43302;United States;Ohio;Marion;East
80122;United States;Colorado;Littleton;West
5408;United States;Vermont;Burlington;East
4401;United States;Maine;Bangor;East
38671;United States;Mississippi;Southaven;South
47362;United States;Indiana;New Castle;Central
48640;United States;Michigan;Midland;Central
57103;United States;South Dakota;Sioux Falls;Central
80525;United States;Colorado;Fort Collins;West
47905;United States;Indiana;Lafayette;Central
37042;United States;Tennessee;Clarksville;South
95823;United States;California;Sacramento;West
91360;United States;California;Thousand Oaks;West
2148;United States;Massachusetts;Malden;East
1040;United States;Massachusetts;Holyoke;East
87105;United States;New Mexico;Albuquerque;West
89431;United States;Nevada;Sparks;West
92236;United States;California;Coachella;West
60126;United States;Illinois;Elmhurst;Central
7055;United States;New Jersey;Passaic;East
29406;United States;South Carolina;North Charleston;South
23602;United States;Virginia;Newport News;South
14701;United States;New York;Jamestown;East
46544;United States;Indiana;Mishawaka;Central
43402;United States;Ohio;Bowling Green;East
92253;United States;California;La Quinta;West
32303;United States;Florida;Tallahassee;South
37211;United States;Tennessee;Nashville;South
98226;United States;Washington;Bellingham;West
60098;United States;Illinois;Woodstock;Central
76117;United States;Texas;Haltom City;Central
60090;United States;Illinois;Wheeling;Central
29483;United States;South Carolina;Summerville;South
71901;United States;Arkansas;Hot Springs;South
80112;United States;Colorado;Englewood;West
43130;United States;Ohio;Lancaster;East
88001;United States;New Mexico;Las Cruces;West
35244;United States;Alabama;Hoover;South
75034;United States;Texas;Frisco;Central
95687;United States;California;Vacaville;West
84107;United States;Utah;Murray;West
53186;United States;Wisconsin;Waukesha;Central
93309;United States;California;Bakersfield;West
33068;United States;Florida;Pompano Beach;South
45373;United States;Ohio;Troy;East
78415;United States;Texas;Corpus Christi;Central
90278;United States;California;Redondo Beach;West
32839;United States;Florida;Orlando;South
7050;United States;New Jersey;Orange;East
70601;United States;Louisiana;Lake Charles;South
60035;United States;Illinois;Highland Park;Central
11550;United States;New York;Hempstead;East
46060;United States;Indiana;Noblesville;Central
55124;United States;Minnesota;Apple Valley;Central
29464;United States;South Carolina;Mount Pleasant;South
48310;United States;Michigan;Sterling Heights;Central
54703;United States;Wisconsin;Eau Claire;Central
78577;United States;Texas;Pharr;Central
59102;United States;Montana;Billings;West
97030;United States;Oregon;Gresham;West
37421;United States;Tennessee;Chattanooga;South
83642;United States;Idaho;Meridian;West
92307;United States;California;Apple Valley;West
60440;United States;Illinois;Bolingbrook;Central
55369;United States;Minnesota;Maple Grove;Central
95695;United States;California;Woodland;West
77489;United States;Texas;Missouri City;Central
77581;United States;Texas;Pearland;Central
94403;United States;California;San Mateo;West
49505;United States;Michigan;Grand Rapids;Central
93277;United States;California;Visalia;West
66212;United States;Kansas;Overland Park;Central
92592;United States;California;Temecula;West
92399;United States;California;Yucaipa;West
2151;United States;Massachusetts;Revere;East
77301;United States;Texas;Conroe;Central
60477;United States;Illinois;Tinley Park;Central
52001;United States;Iowa;Dubuque;Central
48127;United States;Michigan;Dearborn Heights;Central
87505;United States;New Mexico;Santa Fe;West
28601;United States;North Carolina;Hickory;South
60188;United States;Illinois;Carol Stream;Central
56301;United States;Minnesota;Saint Cloud;Central
33161;United States;Florida;North Miami;South
46226;United States;Indiana;Lawrence;Central
33317;United States;Florida;Plantation;South
34952;United States;Florida;Port Saint Lucie;South
29730;United States;South Carolina;Rock Hill;South
79762;United States;Texas;Odessa;Central
53214;United States;Wisconsin;West Allis;Central
91911;United States;California;Chula Vista;West
66502;United States;Kansas;Manhattan;Central
16602;United States;Pennsylvania;Altoona;East
80229;United States;Colorado;Thornton;West
61821;United States;Illinois;Champaign;Central
47401;United States;Indiana;Bloomington;Central
71854;United States;Arkansas;Texarkana;South
78539;United States;Texas;Edinburg;Central
77520;United States;Texas;Baytown;Central
46142;United States;Indiana;Greenwood;Central
90712;United States;California;Lakewood;West
2895;United States;Rhode Island;Woonsocket;East
54880;United States;Wisconsin;Superior;Central
76021;United States;Texas;Bedford;Central
98042;United States;Washington;Covington;West
74012;United States;Oklahoma;Broken Arrow;Central
33023;United States;Florida;Miramar;South
33021;United States;Florida;Hollywood;South
77536;United States;Texas;Deer Park;Central
67212;United States;Kansas;Wichita;Central
78501;United States;Texas;Mcallen;Central
52240;United States;Iowa;Iowa City;Central
83704;United States;Idaho;Boise;West
2920;United States;Rhode Island;Cranston;East
61032;United States;Illinois;Freeport;Central
77642;United States;Texas;Port Arthur;Central
95610;United States;California;Citrus Heights;West
75056;United States;Texas;The Colony;Central
98052;United States;Washington;Redmond;West
32114;United States;Florida;Daytona Beach;South
86442;United States;Arizona;Bullhead City;West
46368;United States;Indiana;Portage;Central
58103;United States;North Dakota;Fargo;Central
46514;United States;Indiana;Elkhart;Central
91776;United States;California;San Gabriel;West
33063;United States;Florida;Margate;South
30328;United States;Georgia;Sandy Springs;South
44060;United States;Ohio;Mentor;East
73505;United States;Oklahoma;Lawton;Central
23666;United States;Virginia;Hampton;South
13440;United States;New York;Rome;East
54601;United States;Wisconsin;La Crosse;Central
83501;United States;Idaho;Lewiston;West
39401;United States;Mississippi;Hattiesburg;South
94526;United States;California;Danville;West
48858;United States;Michigan;Mount Pleasant;Central
84321;United States;Utah;Logan;West
6708;United States;Connecticut;Waterbury;East
30605;United States;Georgia;Athens;South
4240;United States;Maine;Lewiston;East
61832;United States;Illinois;Danville;Central
85323;United States;Arizona;Avondale;West
30062;United States;Georgia;Marietta;South
85364;United States;Arizona;Yuma;West
54401;United States;Wisconsin;Wausau;Central
99301;United States;Washington;Pasco;West
60302;United States;Illinois;Oak Park;Central
32503;United States;Florida;Pensacola;South
77573;United States;Texas;League City;Central
20877;United States;Maryland;Gaithersburg;East
84043;United States;Utah;Lehi;West
35401;United States;Alabama;Tuscaloosa;South
92553;United States;California;Moreno Valley;West
40324;United States;Kentucky;Georgetown;South
80538;United States;Colorado;Loveland;West
85224;United States;Arizona;Chandler;West
59601;United States;Montana;Helena;West
63122;United States;Missouri;Kirkwood;Central
76706;United States;Texas;Waco;Central
48066;United States;Michigan;Roseville;Central
60423;United States;Illinois;Frankfort;Central
18018;United States;Pennsylvania;Bethlehem;East
55113;United States;Minnesota;Roseville;Central
68801;United States;Nebraska;Grand Island;Central
55125;United States;Minnesota;Woodbury;Central
48237;United States;Michigan;Oak Park;Central
72756;United States;Arkansas;Rogers;South
88101;United States;New Mexico;Clovis;West
33458;United States;Florida;Jupiter;South
93101;United States;California;Santa Barbara;West
75104;United States;Texas;Cedar Hill;Central
68701;United States;Nebraska;Norfolk;Central
84020;United States;Utah;Draper;West
48104;United States;Michigan;Ann Arbor;Central
91941;United States;California;La Mesa;West
83201;United States;Idaho;Pocatello;West
49423;United States;Michigan;Holland;Central
6460;United States;Connecticut;Milford;East
60089;United States;Illinois;Buffalo Grove;Central
92630;United States;California;Lake Forest;West
96003;United States;California;Redding;West
95928;United States;California;Chico;West
13501;United States;New York;Utica;East
72032;United States;Arkansas;Conway;South
82001;United States;Wyoming;Cheyenne;West
42301;United States;Kentucky;Owensboro;South
83605;United States;Idaho;Caldwell;West
70065;United States;Louisiana;Kenner;South
3060;United States;New Hampshire;Nashua;East
38134;United States;Tennessee;Bartlett;South
94061;United States;California;Redwood City;West
37087;United States;Tennessee;Lebanon;South
93454;United States;California;Santa Maria;West
60016;United States;Illinois;Des Plaines;Central
98632;United States;Washington;Longview;West
37075;United States;Tennessee;Hendersonville;South
50701;United States;Iowa;Waterloo;Central
2138;United States;Massachusetts;Cambridge;East
60067;United States;Illinois;Palatine;Central
1915;United States;Massachusetts;Beverly;East
97405;United States;Oregon;Eugene;West
93030;United States;California;Oxnard;West
98059;United States;Washington;Renton;West
60025;United States;Illinois;Glenview;Central
33445;United States;Florida;Delray Beach;South
80022;United States;Colorado;Commerce City;West
77590;United States;Texas;Texas City;Central
27893;United States;North Carolina;Wilson;South
87124;United States;New Mexico;Rio Rancho;West
27534;United States;North Carolina;Goldsboro;South
98208;United States;Washington;Everett;West
90640;United States;California;Montebello;West
92020;United States;California;El Cajon;West
77705;United States;Texas;Beaumont;Central
33407;United States;Florida;West Palm Beach;South
79605;United States;Texas;Abilene;Central
61761;United States;Illinois;Normal;Central
63301;United States;Missouri;Saint Charles;Central
60174;United States;Illinois;Saint Charles;Central
93010;United States;California;Camarillo;West
97123;United States;Oregon;Hillsboro;West
91505;United States;California;Burbank;West
95351;United States;California;Modesto;West
67846;United States;Kansas;Garden City;Central
8401;United States;New Jersey;Atlantic City;East
80501;United States;Colorado;Longmont;West
95616;United States;California;Davis;West
26003;United States;West Virginia;Wheeling;East
95037;United States;California;Morgan Hill;West
7011;United States;New Jersey;Clifton;East
53081;United States;Wisconsin;Sheboygan;Central
30344;United States;Georgia;East Point;South
57701;United States;South Dakota;Rapid City;Central
1810;United States;Massachusetts;Andover;East
34741;United States;Florida;Kissimmee;South
6484;United States;Connecticut;Shelton;East
6810;United States;Connecticut;Danbury;East
52302;United States;Iowa;Marion;Central
32771;United States;Florida;Sanford;South
78666;United States;Texas;San Marcos;Central
80634;United States;Colorado;Greeley;West
76063;United States;Texas;Mansfield;Central
44035;United States;Ohio;Elyria;East
83301;United States;Idaho;Twin Falls;West
33134;United States;Florida;Coral Gables;South
60441;United States;Illinois;Romeoville;Central
1752;United States;Massachusetts;Marlborough;East
20707;United States;Maryland;Laurel;East
77803;United States;Texas;Bryan;Central
71603;United States;Arkansas;Pine Bluff;South
57401;United States;South Dakota;Aberdeen;Central
21740;United States;Maryland;Hagerstown;East
7017;United States;New Jersey;East Orange;East
60004;United States;Illinois;Arlington Heights;Central
60543;United States;Illinois;Oswego;Central
55433;United States;Minnesota;Coon Rapids;Central
92672;United States;California;San Clemente;West
94568;United States;California;Dublin;West
93405;United States;California;San Luis Obispo;West
72762;United States;Arkansas;Springdale;South
95240;United States;California;Lodi;West
77571;United States;Texas;La Porte;Central
45040;United States;Ohio;Mason;East
30188;United States;Georgia;Woodstock;South
