Order ID;Order Date
CA-2014-104269;1/03/2014
CA-2016-114104;20/11/2016
CA-2016-162733;11/05/2016
CA-2015-119697;28/12/2015
CA-2016-154508;16/11/2016
CA-2016-113817;7/11/2016
CA-2014-139892;8/09/2014
CA-2014-118962;5/08/2014
US-2014-100853;14/09/2014
US-2017-152366;21/04/2017
US-2015-101511;21/11/2015
CA-2015-137225;15/12/2015
CA-2014-166191;5/12/2014
CA-2014-158274;19/11/2014
CA-2016-105018;28/11/2016
CA-2014-123260;26/08/2014
CA-2016-157000;16/07/2016
CA-2015-102281;12/10/2015
CA-2015-131457;31/10/2015
CA-2014-140004;21/03/2014
CA-2017-107720;6/11/2017
US-2017-124303;6/07/2017
CA-2017-105074;24/06/2017
CA-2014-133690;3/08/2014
US-2017-116701;17/12/2017
CA-2017-126382;3/06/2017
CA-2017-108329;9/12/2017
CA-2017-135860;1/12/2017
CA-2015-101007;9/02/2015
CA-2015-146262;2/01/2015
CA-2016-130162;28/10/2016
CA-2015-169397;24/12/2015
CA-2015-163055;9/08/2015
US-2015-145436;28/02/2015
US-2014-156216;13/09/2014
US-2017-100930;7/04/2017
CA-2017-160514;12/11/2017
CA-2016-157749;4/06/2016
CA-2014-131926;1/06/2014
CA-2016-154739;10/12/2016
CA-2016-145625;11/09/2016
CA-2016-146941;10/12/2016
US-2015-159982;28/11/2015
CA-2017-163139;1/12/2017
US-2017-155299;8/06/2017
US-2014-106992;19/09/2014
CA-2016-125318;6/06/2016
CA-2015-155040;10/11/2015
CA-2017-136826;16/06/2017
CA-2016-111010;22/01/2016
US-2017-145366;9/12/2017
CA-2017-163979;28/12/2017
CA-2015-155334;30/07/2015
CA-2017-118136;16/09/2017
CA-2017-132976;13/10/2017
US-2015-161991;26/09/2015
CA-2015-130890;2/11/2015
CA-2015-130883;26/09/2015
CA-2016-112697;18/12/2016
CA-2016-110772;20/11/2016
CA-2014-111451;26/12/2014
CA-2016-142545;28/10/2016
US-2017-152380;19/11/2017
CA-2015-144253;4/05/2015
CA-2014-130960;30/12/2014
CA-2014-111003;1/06/2014
CA-2017-126774;15/04/2017
CA-2016-142902;12/09/2016
CA-2014-120887;27/09/2014
CA-2014-167850;9/08/2014
CA-2014-164259;28/12/2014
CA-2014-164973;4/11/2014
CA-2014-156601;19/09/2014
CA-2016-162138;23/04/2016
CA-2017-153339;3/11/2017
US-2016-141544;30/08/2016
US-2016-150147;25/04/2016
CA-2015-137946;1/09/2015
CA-2014-129924;12/07/2014
CA-2015-128167;22/06/2015
CA-2014-122336;13/04/2014
US-2015-120712;20/12/2015
CA-2017-169901;15/06/2017
CA-2017-134306;8/07/2017
CA-2016-129714;1/09/2016
CA-2016-138520;8/04/2016
CA-2016-130001;23/04/2016
CA-2017-155698;8/03/2017
CA-2017-144904;25/09/2017
CA-2014-123344;24/09/2014
CA-2016-155516;21/10/2016
CA-2017-104745;29/05/2017
US-2014-119137;23/07/2014
US-2016-134656;28/09/2016
US-2017-134481;27/08/2017
CA-2015-130792;28/04/2015
CA-2016-134775;28/10/2016
CA-2015-125395;26/06/2015
US-2015-168935;27/11/2015
CA-2015-122756;3/12/2015
CA-2014-115973;24/11/2014
CA-2017-101798;11/12/2017
US-2014-135972;21/09/2014
US-2014-134971;7/06/2014
CA-2017-102946;30/06/2017
CA-2017-165603;17/10/2017
CA-2015-122259;31/10/2015
CA-2016-108987;8/09/2016
CA-2014-113166;24/12/2014
CA-2014-155208;16/04/2014
CA-2017-117933;24/12/2017
CA-2017-117457;8/12/2017
CA-2017-142636;3/11/2017
CA-2017-122105;24/06/2017
CA-2016-148796;14/04/2016
CA-2017-154816;6/11/2017
CA-2017-110478;4/03/2017
CA-2014-142048;22/06/2014
CA-2017-125388;19/10/2017
CA-2017-155705;21/08/2017
CA-2017-149160;23/11/2017
CA-2014-101476;12/09/2014
CA-2017-152275;1/10/2017
US-2016-123750;15/04/2016
CA-2016-127369;6/06/2016
US-2014-150574;19/12/2014
CA-2016-147375;12/06/2016
CA-2017-130043;15/09/2017
CA-2017-157252;20/01/2017
CA-2016-115756;5/09/2016
CA-2017-154214;20/03/2017
CA-2016-166674;1/04/2016
CA-2017-147277;20/10/2017
CA-2016-100153;13/12/2016
US-2014-110674;12/02/2014
US-2016-157945;26/09/2016
CA-2015-109638;15/12/2015
CA-2016-109869;22/04/2016
US-2015-101399;17/01/2015
CA-2017-154907;31/03/2017
US-2016-100419;16/12/2016
CA-2015-154144;20/12/2015
CA-2014-144666;9/11/2014
CA-2016-103891;12/07/2016
CA-2016-152632;27/10/2016
CA-2016-100790;26/06/2016
CA-2014-134677;6/10/2014
CA-2014-127691;22/07/2014
CA-2017-140963;10/06/2017
CA-2014-154627;29/10/2014
CA-2014-133753;9/06/2014
CA-2014-113362;14/09/2014
CA-2016-169166;9/05/2016
US-2016-120929;18/03/2016
CA-2015-134782;27/12/2015
CA-2016-126158;25/07/2016
US-2016-105578;30/05/2016
CA-2017-134978;12/11/2017
CA-2015-145352;16/03/2015
CA-2017-135307;26/11/2017
CA-2016-106341;20/10/2016
CA-2017-163405;21/12/2017
CA-2017-127432;22/01/2017
CA-2015-157812;22/03/2015
CA-2017-145142;23/01/2017
US-2016-139486;21/05/2016
CA-2015-158792;26/12/2015
CA-2017-113558;21/10/2017
US-2015-138303;3/09/2015
CA-2015-102848;7/11/2015
US-2017-129441;7/09/2017
CA-2016-168753;29/05/2016
CA-2016-126613;10/07/2016
US-2017-122637;3/09/2017
CA-2015-147851;3/12/2015
CA-2015-134894;7/12/2015
CA-2014-140795;1/02/2014
CA-2016-136924;14/07/2016
US-2015-120161;18/12/2015
CA-2014-103849;11/05/2014
CA-2017-162929;19/11/2017
CA-2015-113173;15/11/2015
CA-2016-136406;15/04/2016
CA-2017-112774;11/09/2017
CA-2017-101945;24/11/2017
CA-2017-100650;29/06/2017
CA-2014-155852;3/03/2014
CA-2016-113243;10/06/2016
CA-2017-118731;20/11/2017
CA-2014-145576;14/09/2014
CA-2015-130736;7/12/2015
CA-2017-137099;7/12/2017
CA-2017-156951;1/10/2017
CA-2017-164826;28/12/2017
CA-2016-127250;3/11/2016
CA-2015-149713;18/09/2015
CA-2017-118640;20/07/2017
CA-2015-132906;10/09/2015
CA-2017-145233;1/12/2017
CA-2015-128139;3/07/2015
US-2016-156986;20/03/2016
CA-2014-135405;9/01/2014
CA-2014-131450;8/08/2014
CA-2016-120180;14/07/2016
US-2016-100720;16/07/2016
CA-2014-149958;15/03/2014
US-2014-105767;23/05/2014
CA-2016-161816;28/04/2016
CA-2016-121223;11/09/2016
CA-2017-138611;14/11/2017
CA-2017-117947;18/08/2017
US-2014-111171;26/12/2014
CA-2015-138009;29/11/2015
CA-2017-163020;15/09/2017
CA-2017-153787;19/05/2017
CA-2017-133431;17/12/2017
US-2016-135720;11/12/2016
CA-2017-144694;24/09/2017
CA-2015-168004;4/10/2015
US-2016-123470;15/08/2016
CA-2016-115917;20/05/2016
CA-2016-147067;18/12/2016
CA-2017-167913;30/07/2017
CA-2017-106103;10/06/2017
US-2017-127719;21/07/2017
CA-2017-126221;30/12/2017
CA-2016-103947;1/04/2016
CA-2016-160745;11/12/2016
CA-2016-132661;23/10/2016
CA-2017-140844;19/06/2017
CA-2016-137239;22/08/2016
US-2016-156097;19/09/2016
CA-2015-146563;24/08/2015
CA-2016-123666;26/03/2016
CA-2016-143308;4/11/2016
CA-2017-132682;8/06/2017
CA-2014-156314;24/12/2014
US-2017-106663;9/06/2017
CA-2017-111178;15/06/2017
CA-2017-130351;5/12/2017
US-2017-119438;18/03/2017
CA-2016-164511;19/11/2016
US-2017-168116;4/11/2017
CA-2014-157784;5/07/2014
CA-2017-161480;25/12/2017
US-2014-117135;21/06/2014
CA-2015-131534;28/03/2015
CA-2015-119291;14/05/2015
CA-2017-114552;2/09/2017
CA-2016-163755;4/11/2016
CA-2015-142027;9/04/2015
CA-2014-138527;12/09/2014
CA-2014-112158;2/12/2014
CA-2014-113887;5/04/2014
CA-2017-146136;3/09/2017
US-2017-100048;19/05/2017
CA-2014-153150;1/07/2014
CA-2014-130092;11/01/2014
CA-2017-108910;24/09/2017
CA-2014-104472;2/06/2014
CA-2016-112942;13/02/2016
CA-2016-142335;15/12/2016
CA-2014-117429;7/10/2014
CA-2016-114713;7/07/2016
CA-2017-144113;16/09/2017
US-2016-150861;3/12/2016
CA-2017-131954;21/01/2017
CA-2014-132500;8/09/2014
CA-2014-112326;4/01/2014
US-2016-146710;27/08/2016
CA-2014-124429;27/05/2014
CA-2016-150889;20/03/2016
CA-2017-126074;2/10/2017
CA-2016-110499;7/04/2016
CA-2015-135272;7/12/2015
CA-2016-140928;18/09/2016
CA-2014-106803;29/12/2014
CA-2017-117240;23/07/2017
CA-2017-133333;18/09/2017
CA-2015-112319;31/08/2015
CA-2017-126046;3/11/2017
CA-2015-114923;8/02/2015
CA-2014-162775;13/01/2014
CA-2014-106810;14/05/2014
CA-2016-157245;19/05/2016
CA-2017-104220;30/01/2017
CA-2014-165974;29/06/2014
CA-2015-144267;21/08/2015
US-2015-157014;3/10/2015
CA-2015-154921;23/05/2015
CA-2017-129567;17/03/2017
CA-2015-154620;12/12/2015
CA-2015-115938;26/06/2015
CA-2016-105256;20/05/2016
CA-2014-156433;20/09/2014
CA-2017-151428;21/09/2017
CA-2015-124653;24/12/2015
CA-2015-101910;27/11/2015
CA-2017-105809;20/02/2017
CA-2016-136133;18/08/2016
CA-2016-115504;12/03/2016
CA-2017-135783;22/04/2017
CA-2014-134313;1/11/2014
CA-2015-140921;3/02/2015
CA-2014-151995;13/10/2014
CA-2017-143686;14/05/2017
CA-2015-106565;20/03/2015
CA-2016-149370;15/09/2016
CA-2014-140858;28/06/2014
CA-2017-101434;20/06/2017
US-2014-102071;9/05/2014
CA-2017-126956;21/08/2017
CA-2017-129462;16/06/2017
CA-2016-165316;23/07/2016
US-2014-115987;8/09/2014
US-2017-156083;4/11/2017
US-2016-137547;7/03/2016
CA-2015-100454;20/11/2015
CA-2016-161669;7/11/2016
CA-2015-114300;13/10/2015
CA-2017-107503;1/01/2017
CA-2014-107755;7/02/2014
CA-2016-152534;20/06/2016
CA-2016-113747;28/05/2016
CA-2016-123274;19/02/2016
CA-2014-125612;3/08/2014
CA-2017-161984;10/04/2017
CA-2014-133851;9/06/2014
CA-2016-134474;5/01/2016
CA-2014-149020;10/01/2014
CA-2016-134362;29/09/2016
CA-2014-136742;6/04/2014
CA-2016-158099;3/09/2016
CA-2015-131128;19/10/2015
CA-2014-148488;10/12/2014
CA-2017-114636;25/08/2017
CA-2016-116736;17/01/2016
US-2014-158638;17/09/2014
CA-2017-111689;30/11/2017
CA-2015-129098;9/10/2015
US-2017-123463;23/12/2017
CA-2016-165148;22/10/2016
CA-2014-134061;29/04/2014
CA-2015-143602;25/04/2015
CA-2017-115364;26/06/2017
CA-2017-150707;14/10/2017
CA-2014-104976;9/12/2014
CA-2017-132934;20/06/2017
CA-2017-133256;26/06/2017
CA-2016-105494;10/11/2016
CA-2016-140634;3/10/2016
CA-2014-144407;9/09/2014
CA-2017-160983;29/10/2017
US-2016-114622;10/04/2016
CA-2017-150959;11/11/2017
CA-2017-132353;15/09/2017
CA-2016-130477;8/04/2016
CA-2017-143259;30/12/2017
CA-2017-137596;2/09/2017
CA-2015-133627;31/05/2015
CA-2017-102519;27/11/2017
US-2014-141215;15/06/2014
CA-2016-165218;5/03/2016
CA-2014-138296;5/12/2014
CA-2015-111164;11/04/2015
CA-2016-149797;15/09/2016
CA-2014-132962;13/09/2014
CA-2015-115091;5/10/2015
CA-2017-144932;14/04/2017
CA-2017-114216;2/09/2017
CA-2016-140081;20/06/2016
US-2017-111745;5/11/2017
CA-2015-148250;13/12/2015
CA-2016-105760;19/06/2016
CA-2016-142958;13/12/2016
CA-2015-120880;29/05/2015
US-2015-140200;26/07/2015
US-2017-110576;28/11/2017
CA-2017-131156;3/04/2017
CA-2017-136539;28/12/2017
CA-2017-119305;30/11/2017
CA-2017-102414;15/05/2017
CA-2015-112571;22/09/2015
CA-2017-152142;14/11/2017
CA-2015-160059;27/11/2015
CA-2016-120859;1/09/2016
CA-2014-127488;22/09/2014
CA-2017-135279;9/04/2017
CA-2014-115791;16/01/2014
US-2017-103247;5/10/2017
US-2017-100209;9/07/2017
CA-2017-159366;7/01/2017
CA-2016-145499;30/05/2016
CA-2015-157035;9/12/2015
CA-2016-144939;3/10/2016
CA-2014-163419;11/11/2014
CA-2017-100314;29/09/2017
CA-2015-146829;10/03/2015
CA-2017-167899;21/05/2017
CA-2015-153549;29/03/2015
CA-2016-110023;9/09/2016
CA-2016-105585;26/08/2016
CA-2014-117639;21/05/2014
CA-2015-162537;28/10/2015
CA-2016-155488;13/11/2016
CA-2015-124891;31/07/2015
CA-2015-126445;27/08/2015
CA-2015-111199;13/11/2015
CA-2015-105312;6/11/2015
US-2017-106705;26/12/2017
CA-2017-135034;1/08/2017
CA-2014-158540;24/11/2014
CA-2017-118437;17/06/2017
US-2015-126214;21/12/2015
CA-2015-133025;17/09/2015
CA-2015-108665;6/07/2015
CA-2015-124450;27/04/2015
CA-2015-167269;16/06/2015
CA-2017-106964;17/12/2017
CA-2016-126529;11/01/2016
CA-2014-163552;11/07/2014
CA-2016-109820;20/11/2016
CA-2016-113061;22/04/2016
CA-2015-127418;13/06/2015
CA-2017-121818;20/11/2017
CA-2016-127670;20/03/2016
CA-2016-102981;6/09/2016
CA-2017-115651;9/07/2017
CA-2017-152702;12/10/2017
CA-2016-169103;8/03/2016
CA-2014-139192;27/05/2014
US-2015-153500;3/07/2015
CA-2015-110667;4/04/2015
CA-2017-167150;10/12/2017
CA-2016-105284;24/11/2016
US-2015-125374;23/03/2015
CA-2015-161263;16/04/2015
CA-2016-157686;1/10/2016
US-2017-139955;28/09/2017
US-2015-150161;25/07/2015
CA-2015-144652;20/11/2015
CA-2016-152814;28/04/2016
CA-2017-106943;14/11/2017
CA-2016-134348;12/11/2016
CA-2016-161781;29/09/2016
CA-2017-132521;23/09/2017
CA-2015-110016;29/11/2015
US-2016-143819;1/03/2016
CA-2016-167584;12/08/2016
CA-2016-166163;15/08/2016
CA-2017-158407;4/06/2017
CA-2015-143490;6/12/2015
CA-2015-165085;27/12/2015
CA-2017-160423;21/01/2017
CA-2014-159338;25/06/2014
CA-2016-107216;14/06/2016
US-2017-145863;21/04/2017
CA-2016-112340;21/10/2016
US-2016-110156;19/11/2016
CA-2017-140585;18/12/2017
CA-2016-144855;22/07/2016
CA-2015-142755;4/09/2015
US-2014-147627;20/01/2014
CA-2015-105970;2/03/2015
CA-2016-112102;12/04/2016
US-2016-114776;6/12/2016
US-2016-134908;5/06/2016
US-2016-148803;11/12/2016
CA-2016-152170;12/11/2016
CA-2014-146969;29/09/2014
CA-2015-112452;4/04/2015
CA-2015-113971;8/05/2015
CA-2017-160395;31/12/2016
CA-2014-136567;20/12/2014
CA-2016-149314;2/07/2016
CA-2017-147039;29/06/2017
CA-2014-126522;1/09/2014
CA-2014-127964;3/03/2014
CA-2014-117709;4/05/2014
CA-2015-125416;2/11/2015
CA-2017-145226;8/12/2017
US-2014-100279;10/03/2014
CA-2014-158064;21/04/2014
US-2015-104430;22/10/2015
CA-2015-132080;22/08/2015
CA-2016-161207;29/08/2016
CA-2014-120243;27/12/2014
CA-2016-113621;1/12/2016
CA-2016-168081;24/04/2016
CA-2014-128146;21/06/2014
CA-2017-138779;14/01/2017
CA-2014-127131;24/11/2014
CA-2017-117212;26/02/2017
US-2015-130519;15/09/2015
CA-2016-130946;8/04/2016
CA-2016-114727;18/07/2016
CA-2017-133235;1/08/2017
CA-2016-137050;14/07/2016
US-2017-118087;9/09/2017
CA-2014-110184;12/07/2014
CA-2016-126004;4/12/2016
CA-2017-100013;6/11/2017
CA-2015-132570;31/10/2015
CA-2016-153682;30/05/2016
CA-2016-144344;28/10/2016
CA-2014-127012;11/08/2014
CA-2016-128727;29/08/2016
US-2016-162859;15/02/2016
CA-2017-133641;14/05/2017
CA-2014-168494;12/12/2014
CA-2017-115602;18/12/2017
CA-2015-154956;4/07/2015
CA-2017-144638;10/03/2017
US-2016-168620;24/12/2016
CA-2017-117079;23/10/2017
US-2016-144393;28/10/2016
CA-2017-105053;7/07/2017
CA-2016-155992;1/10/2016
CA-2017-110380;2/09/2017
US-2014-167738;24/12/2014
CA-2017-121412;23/09/2017
CA-2017-100426;4/06/2017
US-2016-103646;21/04/2016
CA-2016-119186;26/05/2016
CA-2016-148698;2/05/2016
CA-2014-163293;8/09/2014
CA-2016-160815;5/09/2016
CA-2017-122154;9/04/2017
US-2015-149692;6/12/2015
CA-2016-119445;26/06/2016
CA-2015-124268;4/07/2015
CA-2016-154711;22/11/2016
CA-2016-163384;10/11/2016
CA-2015-101707;27/08/2015
CA-2015-138898;25/05/2015
CA-2017-115427;30/12/2017
CA-2016-134425;8/12/2016
CA-2015-121391;4/10/2015
CA-2016-137043;23/12/2016
CA-2015-115847;19/09/2015
US-2017-126179;3/07/2017
CA-2016-101966;14/07/2016
CA-2016-141397;20/06/2016
CA-2016-141082;9/12/2016
US-2016-134488;24/09/2016
CA-2016-145919;18/12/2016
CA-2017-157651;10/12/2017
CA-2014-160773;1/07/2014
CA-2017-167703;3/02/2017
CA-2017-121804;3/03/2017
CA-2017-162635;9/10/2017
CA-2014-107153;28/09/2014
US-2014-117058;27/05/2014
CA-2015-120439;14/06/2015
CA-2016-128258;30/03/2016
CA-2017-106033;15/10/2017
CA-2016-142762;23/05/2016
CA-2017-127705;2/06/2017
CA-2014-122567;16/02/2014
CA-2014-121664;6/05/2014
CA-2016-122133;16/05/2016
US-2017-123281;2/04/2017
CA-2017-100524;31/03/2017
CA-2017-113481;2/01/2017
CA-2015-131758;28/05/2015
CA-2014-118339;17/03/2014
CA-2014-153976;3/10/2014
CA-2016-162901;28/03/2016
CA-2017-162978;4/05/2017
US-2014-160444;5/07/2014
CA-2016-145247;5/05/2016
CA-2017-160045;26/04/2017
US-2014-151925;26/09/2014
CA-2017-125199;19/10/2017
US-2017-155425;10/11/2017
CA-2017-133249;8/07/2017
US-2015-103471;24/12/2015
CA-2017-136672;7/03/2017
US-2014-157021;1/04/2014
CA-2015-120362;14/09/2015
CA-2014-126361;4/08/2014
US-2016-100566;3/09/2016
US-2016-108504;5/02/2016
CA-2017-124828;3/07/2017
US-2017-117247;9/10/2017
CA-2016-124485;24/11/2016
CA-2016-159212;1/11/2016
US-2016-161396;19/04/2016
US-2014-118486;6/04/2014
CA-2016-130407;2/09/2016
US-2016-122245;25/09/2016
CA-2017-105144;4/11/2017
CA-2016-136329;9/07/2016
CA-2014-146640;30/06/2014
CA-2017-115994;28/01/2017
CA-2015-126697;21/09/2015
CA-2015-124800;26/09/2015
US-2015-164448;31/10/2015
CA-2017-122700;26/11/2017
CA-2014-120768;19/12/2014
US-2016-153129;26/12/2016
CA-2017-106852;20/06/2017
CA-2015-139731;15/10/2015
CA-2017-122735;12/04/2017
CA-2017-128160;19/12/2017
CA-2017-117695;5/08/2017
CA-2015-166135;1/10/2015
CA-2016-133725;23/05/2016
CA-2017-102337;13/06/2017
US-2014-112564;23/04/2014
CA-2015-145821;1/05/2015
US-2015-160150;19/07/2015
CA-2016-133711;26/11/2016
CA-2017-148474;12/06/2017
CA-2015-111297;17/08/2015
CA-2016-123722;25/09/2016
CA-2014-155271;4/05/2014
CA-2015-119907;1/12/2015
US-2016-128902;11/03/2016
CA-2016-152289;26/08/2016
US-2016-104794;16/12/2016
CA-2014-151708;8/08/2014
CA-2015-100769;16/05/2015
CA-2017-139199;9/12/2017
US-2015-161466;24/09/2015
CA-2017-164959;11/07/2017
US-2015-105676;1/12/2015
CA-2016-113138;19/11/2016
US-2017-104955;19/03/2017
CA-2016-121958;13/11/2016
CA-2017-121468;19/11/2017
US-2016-108455;2/12/2016
CA-2017-101210;25/08/2017
US-2016-108098;14/10/2016
CA-2014-119032;27/11/2014
CA-2015-140410;3/11/2015
CA-2014-136280;29/11/2014
CA-2017-151911;30/04/2017
CA-2017-166436;24/11/2017
CA-2017-139661;30/10/2017
CA-2014-123925;17/12/2014
CA-2017-152485;4/09/2017
CA-2016-141586;17/10/2016
CA-2017-130386;12/11/2017
CA-2016-100468;24/11/2016
CA-2015-153388;1/08/2015
CA-2017-154935;24/12/2017
CA-2016-134208;17/09/2016
CA-2017-108294;10/12/2017
CA-2017-103611;12/09/2017
CA-2017-100384;24/06/2017
CA-2017-112809;18/08/2017
US-2017-160759;11/12/2017
CA-2017-148446;10/12/2017
CA-2014-111059;3/02/2014
CA-2017-116204;11/02/2017
CA-2017-109946;16/04/2017
CA-2015-144806;6/12/2015
CA-2016-122392;22/07/2016
CA-2015-148432;7/11/2015
CA-2015-103793;26/03/2015
CA-2017-159884;31/08/2017
CA-2016-139885;4/12/2016
CA-2017-124086;10/02/2017
CA-2016-112389;29/10/2016
CA-2017-121888;15/09/2017
CA-2014-166884;11/03/2014
CA-2014-107181;4/02/2014
CA-2014-150245;31/12/2014
CA-2015-111395;23/11/2015
CA-2014-134278;6/07/2014
US-2017-124926;13/11/2017
CA-2016-159345;17/06/2016
CA-2014-130274;3/05/2014
CA-2017-158386;16/10/2017
CA-2015-111507;6/02/2015
CA-2017-120761;4/09/2017
CA-2016-109176;9/05/2016
CA-2015-112116;16/03/2015
CA-2016-126809;9/04/2016
CA-2014-105172;4/04/2014
CA-2017-107293;5/09/2017
US-2017-102890;30/06/2017
CA-2015-158554;9/11/2015
CA-2014-116239;4/03/2014
CA-2015-132101;19/03/2015
CA-2015-129112;29/11/2015
US-2017-152002;11/06/2017
CA-2017-165029;26/11/2017
US-2014-157385;23/11/2014
CA-2014-101602;15/12/2014
CA-2016-109057;22/04/2016
CA-2016-154403;23/05/2016
CA-2016-102456;27/02/2016
CA-2015-131338;9/08/2015
CA-2016-109911;12/05/2016
US-2016-132423;15/04/2016
CA-2015-122826;23/06/2015
CA-2014-117317;19/10/2014
CA-2015-118423;24/03/2015
CA-2017-149181;8/05/2017
CA-2017-132234;16/10/2017
CA-2017-158876;19/11/2017
CA-2016-164672;8/05/2016
US-2016-132857;11/12/2016
CA-2017-116645;30/11/2017
US-2016-115819;19/04/2016
CA-2014-156349;26/05/2014
CA-2017-138380;21/12/2017
US-2016-113509;15/03/2016
CA-2015-130022;10/08/2015
US-2016-118780;10/09/2016
CA-2017-108560;8/07/2017
CA-2015-157084;19/12/2015
CA-2015-164539;16/11/2015
CA-2015-143119;24/09/2015
CA-2017-101049;21/06/2017
CA-2016-106530;8/05/2016
CA-2014-168984;26/11/2014
CA-2016-157266;26/05/2016
US-2014-134712;29/11/2014
CA-2015-111829;19/03/2015
CA-2015-105221;1/11/2015
CA-2015-120341;26/09/2015
CA-2014-135699;29/08/2014
US-2017-132444;18/11/2017
CA-2014-127159;12/05/2014
CA-2017-161809;20/01/2017
CA-2017-127285;30/10/2017
CA-2017-144526;30/04/2017
CA-2016-128531;24/11/2016
US-2015-157154;10/01/2015
CA-2017-159457;19/10/2017
CA-2016-107615;22/03/2016
CA-2017-111647;3/07/2017
CA-2015-150560;11/12/2015
CA-2015-143077;17/09/2015
CA-2016-122728;18/05/2016
CA-2014-122882;7/09/2014
US-2016-101497;29/09/2016
CA-2016-147585;7/11/2016
CA-2017-149489;24/04/2017
CA-2017-143798;10/12/2017
CA-2014-142839;16/08/2014
CA-2017-129833;9/12/2017
US-2016-154361;14/03/2016
US-2016-158708;26/06/2016
CA-2015-156335;25/09/2015
CA-2015-148376;27/12/2015
CA-2014-135657;3/06/2014
CA-2015-114069;13/07/2015
CA-2014-139857;2/02/2014
CA-2016-106306;8/03/2016
CA-2015-100545;22/11/2015
CA-2017-123491;30/10/2017
CA-2015-145401;30/01/2015
US-2017-124968;8/09/2017
CA-2017-104003;7/10/2017
CA-2016-154788;30/04/2016
CA-2016-169943;19/05/2016
US-2015-123218;20/12/2015
CA-2015-127453;19/12/2015
US-2017-164056;29/04/2017
CA-2016-106894;7/02/2016
CA-2014-125136;28/09/2014
US-2016-131149;10/07/2016
CA-2017-101483;29/07/2017
CA-2015-130204;3/09/2015
CA-2014-110527;9/08/2014
CA-2017-152807;30/10/2017
CA-2014-133270;6/06/2014
CA-2016-155670;13/08/2016
US-2014-157406;25/04/2014
CA-2015-139094;22/11/2015
CA-2017-168837;14/10/2017
CA-2017-116715;2/12/2017
CA-2015-135622;8/12/2015
US-2015-107349;13/07/2015
CA-2014-139017;11/05/2014
CA-2014-141817;5/01/2014
CA-2015-130785;5/09/2015
CA-2016-110254;4/08/2016
US-2014-158057;22/03/2014
CA-2017-146024;2/03/2017
CA-2016-129686;27/11/2016
CA-2014-118976;28/04/2014
CA-2015-105347;24/11/2015
CA-2016-124667;11/11/2016
CA-2015-111094;9/07/2015
CA-2017-166317;22/09/2017
CA-2015-154326;15/02/2015
CA-2014-102008;30/09/2014
CA-2014-120474;1/12/2014
CA-2014-104773;8/12/2014
CA-2016-140774;5/09/2016
US-2017-139465;27/08/2017
CA-2016-100965;7/07/2016
CA-2016-121034;8/08/2016
CA-2016-149461;13/11/2016
CA-2017-158379;22/09/2017
US-2016-116729;25/12/2016
CA-2016-164938;11/02/2016
CA-2016-165484;23/10/2016
CA-2014-132612;9/06/2014
US-2017-161193;20/11/2017
CA-2015-131597;14/09/2015
CA-2015-164833;4/06/2015
CA-2015-125423;13/12/2015
