Row ID;Ship Date;Ship Mode;Sales;Discount;Quantity;Customer ID;Product ID;Order ID
20;1/09/2014;Second Class;213,48;0,2;3;ZD-21925;TEC-PH-10001949;CA-2014-143336
21;1/09/2014;Second Class;22,72;0,2;4;ZD-21925;OFF-BI-10002215;CA-2014-143336
22;13/12/2016;Standard Class;19,46;0;7;KB-16585;OFF-AR-10000246;CA-2016-137330
23;13/12/2016;Standard Class;60,34;0;7;KB-16585;OFF-AP-10001492;CA-2016-137330
24;18/07/2017;Second Class;71,372;0,3;2;SF-20065;FUR-CH-10002774;US-2017-156909
25;30/09/2015;Standard Class;1044,63;0;3;EB-13870;FUR-TA-10000577;CA-2015-106320
26;20/01/2016;Second Class;11,648;0,2;2;EH-13945;OFF-BI-10001634;CA-2016-121755
27;20/01/2016;Second Class;90,57;0;3;EH-13945;TEC-AC-10003027;CA-2016-121755
28;21/09/2015;Standard Class;3083,43;0,5;7;TB-21520;FUR-BO-10004834;US-2015-150630
29;21/09/2015;Standard Class;9,618;0,7;2;TB-21520;OFF-BI-10000474;US-2015-150630
30;21/09/2015;Standard Class;124,2;0,2;3;TB-21520;FUR-FU-10004848;US-2015-150630
31;21/09/2015;Standard Class;3,264;0,2;2;TB-21520;OFF-EN-10001509;US-2015-150630
32;21/09/2015;Standard Class;86,304;0,2;6;TB-21520;OFF-AR-10004042;US-2015-150630
33;21/09/2015;Standard Class;6,858;0,7;6;TB-21520;OFF-BI-10001525;US-2015-150630
34;21/09/2015;Standard Class;15,76;0,2;2;TB-21520;OFF-AR-10001683;US-2015-150630
35;23/10/2017;Second Class;29,472;0,2;3;MA-17560;OFF-PA-10000249;CA-2017-107727
36;10/12/2016;First Class;1097,544;0,2;7;GH-14485;TEC-PH-10004977;CA-2016-117590
37;10/12/2016;First Class;190,92;0,6;5;GH-14485;FUR-FU-10003664;CA-2016-117590
38;31/12/2015;Standard Class;113,328;0,2;9;SN-20710;OFF-EN-10002986;CA-2015-117415
39;31/12/2015;Standard Class;532,3992;0,32;3;SN-20710;FUR-BO-10002545;CA-2015-117415
40;31/12/2015;Standard Class;212,058;0,3;3;SN-20710;FUR-CH-10004218;CA-2015-117415
41;31/12/2015;Standard Class;371,168;0,2;4;SN-20710;TEC-PH-10000486;CA-2015-117415
42;15/09/2017;Standard Class;147,168;0,2;4;LC-16930;TEC-PH-10004093;CA-2017-120999
43;22/07/2016;Standard Class;77,88;0;2;RA-19885;OFF-ST-10003479;CA-2016-101343
44;23/09/2017;Standard Class;95,616;0,2;2;ES-14080;OFF-ST-10003282;CA-2017-139619
45;13/03/2016;First Class;45,98;0;2;ON-18715;TEC-AC-10000171;CA-2016-118255
46;13/03/2016;First Class;17,46;0;2;ON-18715;OFF-BI-10003291;CA-2016-118255
47;25/10/2014;Second Class;211,96;0;4;PO-18865;OFF-ST-10001713;CA-2014-146703
48;25/06/2016;Standard Class;45;0;3;LH-16900;TEC-AC-10002167;CA-2016-169194
49;25/06/2016;Standard Class;21,8;0;2;LH-16900;TEC-PH-10003988;CA-2016-169194
50;22/04/2015;Standard Class;38,22;0;6;DP-13000;OFF-BI-10004410;CA-2015-115742
51;22/04/2015;Standard Class;75,18;0;6;DP-13000;OFF-LA-10002762;CA-2015-115742
52;22/04/2015;Standard Class;6,16;0;2;DP-13000;FUR-FU-10001706;CA-2015-115742
53;22/04/2015;Standard Class;89,99;0;1;DP-13000;FUR-CH-10003061;CA-2015-115742
54;17/12/2016;Standard Class;15,26;0;7;JM-15265;OFF-FA-10000304;CA-2016-105816
55;17/12/2016;Standard Class;1029,95;0;5;JM-15265;TEC-PH-10002447;CA-2016-105816
56;18/06/2016;First Class;208,56;0;6;TB-21055;OFF-ST-10000604;CA-2016-111682
57;18/06/2016;First Class;32,4;0;5;TB-21055;OFF-PA-10001569;CA-2016-111682
58;18/06/2016;First Class;319,41;0,1;5;TB-21055;FUR-CH-10003968;CA-2016-111682
59;18/06/2016;First Class;14,56;0;2;TB-21055;OFF-PA-10000587;CA-2016-111682
60;18/06/2016;First Class;30;0;2;TB-21055;TEC-AC-10002167;CA-2016-111682
61;18/06/2016;First Class;48,48;0,2;4;TB-21055;OFF-BI-10001460;CA-2016-111682
62;18/06/2016;First Class;1,68;0;1;TB-21055;OFF-AR-10001868;CA-2016-111682
63;30/11/2015;Standard Class;13,98;0;2;KM-16720;TEC-AC-10004633;CA-2015-135545
64;30/11/2015;Standard Class;25,824;0,2;6;KM-16720;OFF-BI-10001078;CA-2015-135545
65;30/11/2015;Standard Class;146,73;0;3;KM-16720;OFF-PA-10003892;CA-2015-135545
66;30/11/2015;Standard Class;79,76;0;4;KM-16720;FUR-FU-10000397;CA-2015-135545
67;5/05/2015;Standard Class;213,115;0,3;5;PS-18970;FUR-CH-10001146;US-2015-164175
68;10/12/2014;Standard Class;1113,024;0,2;8;BS-11590;OFF-AR-10002671;CA-2014-106376
69;10/12/2014;Standard Class;167,968;0,2;4;BS-11590;TEC-PH-10002726;CA-2014-106376
70;6/06/2016;First Class;75,88;0;2;KD-16270;OFF-PA-10000482;CA-2016-119823
71;23/09/2016;Standard Class;4,616;0,2;1;HM-14980;OFF-BI-10004654;CA-2016-106075
72;17/09/2017;Second Class;19,05;0;3;TB-21520;OFF-PA-10004675;CA-2017-114440
73;2/05/2015;Standard Class;831,936;0,2;8;JE-15745;FUR-CH-10000513;US-2015-134026
74;2/05/2015;Standard Class;97,04;0,2;2;JE-15745;FUR-FU-10003708;US-2015-134026
75;2/05/2015;Standard Class;72,784;0,2;1;JE-15745;OFF-ST-10004123;US-2015-134026
76;11/12/2017;First Class;1,248;0,8;3;KB-16600;OFF-BI-10004182;US-2017-118038
77;11/12/2017;First Class;9,708;0,6;3;KB-16600;FUR-FU-10000260;US-2017-118038
78;11/12/2017;First Class;27,24;0,2;3;KB-16600;OFF-ST-10000615;US-2017-118038
79;1/12/2014;Second Class;19,3;0,6;5;JE-15745;FUR-FU-10003194;US-2014-147606
80;15/06/2016;First Class;208,16;0;1;SC-20770;OFF-AP-10002118;CA-2016-127208
81;15/06/2016;First Class;16,74;0;3;SC-20770;OFF-BI-10002309;CA-2016-127208
82;16/10/2014;Standard Class;14,9;0;5;DN-13690;OFF-AR-10002053;CA-2014-139451
83;16/10/2014;Standard Class;21,39;0;1;DN-13690;OFF-ST-10002370;CA-2014-139451
84;8/09/2015;Standard Class;200,984;0,2;7;JC-16105;OFF-EN-10000927;CA-2015-149734
85;16/11/2017;First Class;230,376;0,2;3;CS-12400;OFF-ST-10003656;US-2017-119662
86;30/05/2017;Second Class;301,96;0;2;PO-18865;FUR-CH-10000863;CA-2017-140088
87;2/11/2017;Standard Class;19,99;0;1;PG-18895;TEC-AC-10001998;CA-2017-155558
88;2/11/2017;Standard Class;6,16;0;2;PG-18895;OFF-LA-10000134;CA-2017-155558
89;10/04/2016;Second Class;158,368;0,2;7;GM-14455;OFF-ST-10003442;CA-2016-159695
90;22/09/2016;Standard Class;20,1;0;3;JS-15685;OFF-AR-10004930;CA-2016-109806
91;22/09/2016;Standard Class;73,584;0,2;2;JS-15685;TEC-PH-10004093;CA-2016-109806
92;22/09/2016;Standard Class;6,48;0;1;JS-15685;OFF-PA-10000304;CA-2016-109806
93;5/02/2015;Second Class;12,96;0;2;KB-16315;OFF-PA-10003177;CA-2015-149587
94;5/02/2015;Second Class;53,34;0;3;KB-16315;FUR-FU-10003799;CA-2015-149587
95;5/02/2015;Second Class;32,96;0;2;KB-16315;OFF-BI-10002852;CA-2015-149587
96;12/11/2017;Standard Class;5,682;0,7;1;RB-19705;OFF-BI-10004738;US-2017-109484
97;11/11/2017;Second Class;96,53;0;7;PN-18775;FUR-FU-10000629;CA-2017-161018
98;20/06/2017;First Class;51,312;0,2;3;KD-16345;OFF-BI-10001721;CA-2017-157833
99;11/09/2016;Standard Class;77,88;0;6;ER-13855;OFF-AP-10000358;CA-2016-149223
100;2/09/2016;Standard Class;64,624;0,2;7;RB-19465;OFF-PA-10003256;CA-2016-158568
101;2/09/2016;Standard Class;95,976;0,2;3;RB-19465;TEC-AC-10001767;CA-2016-158568
102;2/09/2016;Standard Class;1,788;0,8;3;RB-19465;OFF-BI-10002609;CA-2016-158568
103;4/12/2016;Second Class;23,92;0;4;GZ-14470;OFF-PA-10004040;CA-2016-129903
104;17/11/2015;Standard Class;238,896;0,2;6;LC-16870;TEC-AC-10001552;US-2015-156867
105;17/11/2015;Standard Class;102,36;0,2;3;LC-16870;FUR-FU-10004006;US-2015-156867
106;17/11/2015;Standard Class;36,882;0,7;3;LC-16870;OFF-BI-10002794;US-2015-156867
107;28/11/2017;Standard Class;74,112;0,2;8;JM-15250;TEC-AC-10003499;CA-2017-119004
108;28/11/2017;Standard Class;27,992;0,2;1;JM-15250;TEC-PH-10002844;CA-2017-119004
109;28/11/2017;Standard Class;3,304;0,2;1;JM-15250;OFF-AR-10000390;CA-2017-119004
110;20/10/2015;Standard Class;339,96;0,2;5;PA-19060;TEC-AC-10000844;CA-2015-129476
111;30/12/2017;Standard Class;41,96;0;2;CV-12805;FUR-FU-10001934;CA-2017-146780
112;10/11/2016;Standard Class;75,96;0;2;CL-12565;OFF-AR-10000380;CA-2016-128867
113;10/11/2016;Standard Class;27,24;0;6;CL-12565;OFF-BI-10003981;CA-2016-128867
114;27/08/2014;Second Class;40,096;0,2;14;RC-19960;OFF-FA-10000621;CA-2014-115259
115;27/08/2014;Second Class;4,72;0,2;2;RC-19960;OFF-EN-10002600;CA-2014-115259
116;27/08/2014;Second Class;23,976;0,2;3;RC-19960;OFF-PA-10004965;CA-2014-115259
117;27/08/2014;Second Class;130,464;0,2;6;RC-19960;OFF-EN-10002504;CA-2014-115259
118;6/03/2015;Standard Class;787,53;0;3;DK-13090;FUR-TA-10001768;CA-2015-110457
119;10/04/2015;Standard Class;157,794;0,7;1;GG-14650;OFF-BI-10003650;US-2015-136476
120;15/06/2016;First Class;47,04;0;3;SC-20725;FUR-FU-10002157;CA-2016-103730
121;15/06/2016;First Class;30,84;0;4;SC-20725;OFF-BI-10003910;CA-2016-103730
122;15/06/2016;First Class;226,56;0;6;SC-20725;OFF-ST-10000777;CA-2016-103730
123;15/06/2016;First Class;115,02;0;9;SC-20725;OFF-EN-10002500;CA-2016-103730
124;15/06/2016;First Class;68,04;0;7;SC-20725;TEC-PH-10003875;CA-2016-103730
125;28/12/2014;Second Class;600,558;0,3;3;AD-10180;FUR-CH-10004063;US-2014-152030
126;25/09/2014;Standard Class;617,7;0,5;6;PF-19165;FUR-TA-10004534;US-2014-134614
127;12/11/2017;Standard Class;2,388;0,7;2;TS-21610;OFF-BI-10003274;US-2017-107272
128;12/11/2017;Standard Class;243,992;0,2;7;TS-21610;OFF-ST-10002974;US-2017-107272
129;10/11/2016;Second Class;81,424;0,2;2;LS-16975;FUR-CH-10001146;US-2016-125969
130;10/11/2016;Second Class;238,56;0;3;LS-16975;FUR-FU-10003773;US-2016-125969
131;5/02/2017;First Class;59,97;0,4;5;DW-13585;TEC-PH-10002293;US-2017-164147
132;5/02/2017;First Class;78,304;0,2;2;DW-13585;OFF-PA-10002377;US-2017-164147
133;5/02/2017;First Class;21,456;0,2;9;DW-13585;OFF-FA-10002780;US-2017-164147
134;19/10/2016;Standard Class;20,04;0;3;LC-16885;OFF-PA-10001804;CA-2016-145583
135;19/10/2016;Standard Class;35,44;0;1;LC-16885;OFF-PA-10001736;CA-2016-145583
136;19/10/2016;Standard Class;11,52;0;4;LC-16885;OFF-AR-10001149;CA-2016-145583
137;19/10/2016;Standard Class;4,02;0;2;LC-16885;OFF-FA-10002988;CA-2016-145583
138;19/10/2016;Standard Class;76,176;0,2;3;LC-16885;OFF-BI-10004781;CA-2016-145583
139;19/10/2016;Standard Class;65,88;0;6;LC-16885;OFF-SU-10001218;CA-2016-145583
140;19/10/2016;Standard Class;43,12;0;14;LC-16885;FUR-FU-10001706;CA-2016-145583
141;7/09/2016;Second Class;82,8;0,2;2;JD-15895;FUR-FU-10004848;CA-2016-110366
142;23/09/2017;Standard Class;8,82;0;3;SH-19975;OFF-AR-10000940;CA-2017-106180
143;23/09/2017;Standard Class;10,86;0;3;SH-19975;OFF-EN-10004030;CA-2017-106180
144;23/09/2017;Standard Class;143,7;0;3;SH-19975;OFF-PA-10004327;CA-2017-106180
145;27/12/2017;Standard Class;839,43;0;3;SG-20080;OFF-AP-10001058;CA-2017-155376
146;12/09/2015;Standard Class;671,93;0;7;HA-14920;OFF-ST-10003656;CA-2015-110744
147;28/10/2014;Standard Class;93,888;0,2;4;MG-17680;FUR-FU-10000521;CA-2014-110072
148;9/12/2016;Standard Class;384,45;0;11;JE-16165;TEC-PH-10000215;CA-2016-114489
149;9/12/2016;Standard Class;149,97;0;3;JE-16165;TEC-PH-10001448;CA-2016-114489
150;9/12/2016;Standard Class;1951,84;0;8;JE-16165;FUR-CH-10000454;CA-2016-114489
151;9/12/2016;Standard Class;171,55;0;5;JE-16165;OFF-BI-10002735;CA-2016-114489
152;16/03/2016;First Class;157,92;0,2;5;TW-21025;OFF-AP-10000326;CA-2016-158834
153;16/03/2016;First Class;203,184;0,2;2;TW-21025;TEC-PH-10001254;CA-2016-158834
154;2/06/2015;First Class;58,38;0;7;SP-20650;OFF-PA-10001950;CA-2015-124919
155;2/06/2015;First Class;105,52;0;4;SP-20650;OFF-PA-10002254;CA-2015-124919
156;2/06/2015;First Class;80,88;0;6;SP-20650;OFF-ST-10001590;CA-2015-124919
157;3/06/2015;Standard Class;6,63;0;3;NK-18490;OFF-AR-10001547;CA-2015-118948
158;6/03/2014;Second Class;457,568;0,2;2;DB-13060;FUR-CH-10004063;CA-2014-104269
159;24/11/2016;Standard Class;14,62;0;2;NP-18670;OFF-LA-10002475;CA-2016-114104
160;24/11/2016;Standard Class;944,93;0;7;NP-18670;TEC-PH-10004536;CA-2016-114104
161;12/05/2016;First Class;5,98;0;1;TT-21070;OFF-PA-10002751;CA-2016-162733
162;31/12/2015;Second Class;54,384;0,2;2;EM-13960;TEC-AC-10003657;CA-2015-119697
163;20/11/2016;Standard Class;28,4;0;5;RD-19900;OFF-EN-10001990;CA-2016-154508
164;11/11/2016;Standard Class;27,68;0,2;2;MJ-17740;OFF-BI-10004002;CA-2016-113817
165;12/09/2014;Standard Class;9,936;0,2;3;BM-11140;OFF-AR-10004441;CA-2014-139892
166;12/09/2014;Standard Class;8159,952;0,4;8;BM-11140;TEC-MA-10000822;CA-2014-139892
167;12/09/2014;Standard Class;275,928;0,2;3;BM-11140;OFF-ST-10000991;CA-2014-139892
168;12/09/2014;Standard Class;1740,06;0,3;9;BM-11140;FUR-CH-10004287;CA-2014-139892
169;12/09/2014;Standard Class;32,064;0,2;6;BM-11140;OFF-AR-10002656;CA-2014-139892
170;12/09/2014;Standard Class;177,98;0,8;5;BM-11140;OFF-AP-10002518;CA-2014-139892
171;12/09/2014;Standard Class;143,976;0,2;3;BM-11140;TEC-PH-10003931;CA-2014-139892
172;9/08/2014;Standard Class;20,94;0;3;CS-12130;OFF-PA-10000659;CA-2014-118962
173;9/08/2014;Standard Class;110,96;0;2;CS-12130;OFF-PA-10001144;CA-2014-118962
174;9/08/2014;Standard Class;340,144;0,2;7;CS-12130;FUR-CH-10003817;CA-2014-118962
175;19/09/2014;Standard Class;52,448;0,8;2;JB-15400;OFF-AP-10000891;US-2014-100853
176;19/09/2014;Standard Class;20,16;0,2;4;JB-15400;OFF-LA-10003148;US-2014-100853
177;25/04/2017;Second Class;97,264;0,8;4;SJ-20500;OFF-AP-10002684;US-2017-152366
178;23/11/2015;Second Class;396,802;0,3;7;JE-15745;FUR-CH-10004698;US-2015-101511
179;23/11/2015;Second Class;15,88;0,2;5;JE-15745;OFF-SU-10002189;US-2015-101511
180;19/12/2015;Standard Class;3,28;0;1;JK-15640;OFF-AR-10001940;CA-2015-137225
181;9/12/2014;Second Class;24,816;0,2;2;DK-13150;OFF-ST-10003455;CA-2014-166191
182;9/12/2014;Second Class;408,744;0,2;7;DK-13150;TEC-AC-10004659;CA-2014-166191
183;24/11/2014;Second Class;503,96;0;4;RM-19675;TEC-PH-10003273;CA-2014-158274
184;24/11/2014;Second Class;149,95;0;5;RM-19675;TEC-PH-10004896;CA-2014-158274
185;24/11/2014;Second Class;29;0;2;RM-19675;TEC-AC-10002345;CA-2014-158274
186;2/12/2016;Standard Class;7,16;0;2;SK-19990;OFF-BI-10001890;CA-2016-105018
187;30/08/2014;Standard Class;176,8;0;8;FM-14290;TEC-AC-10002323;CA-2014-123260
188;22/07/2016;Standard Class;37,224;0,2;3;AM-10360;OFF-ST-10001328;CA-2016-157000
189;22/07/2016;Standard Class;20,016;0,2;3;AM-10360;OFF-PA-10001950;CA-2016-157000
190;14/10/2015;First Class;899,136;0,2;4;MP-17470;FUR-BO-10002613;CA-2015-102281
191;14/10/2015;First Class;71,76;0;6;MP-17470;TEC-PH-10001552;CA-2015-102281
192;14/10/2015;First Class;51,84;0;8;MP-17470;OFF-PA-10000061;CA-2015-102281
193;14/10/2015;First Class;626,352;0,2;3;MP-17470;FUR-BO-10002545;CA-2015-102281
194;14/10/2015;First Class;19,9;0;5;MP-17470;OFF-AR-10003514;CA-2015-102281
195;6/11/2015;Standard Class;14,28;0;7;MZ-17515;OFF-EN-10001509;CA-2015-131457
196;25/03/2014;Standard Class;7,408;0,2;2;CB-12025;OFF-AR-10004685;CA-2014-140004
197;25/03/2014;Standard Class;6,048;0,2;3;CB-12025;OFF-AR-10004027;CA-2014-140004
198;13/11/2017;Standard Class;46,26;0;3;VM-21685;OFF-ST-10001414;CA-2017-107720
199;13/07/2017;Standard Class;2,946;0,7;2;FH-14365;OFF-BI-10000343;US-2017-124303
200;13/07/2017;Standard Class;16,056;0,2;3;FH-14365;OFF-PA-10002749;US-2017-124303
201;29/06/2017;Standard Class;21,744;0,2;3;MB-17305;OFF-PA-10002666;CA-2017-105074
202;5/08/2014;First Class;218,75;0,5;2;BS-11755;FUR-TA-10004289;CA-2014-133690
203;5/08/2014;First Class;2,6;0,2;1;BS-11755;OFF-AP-10003622;CA-2014-133690
204;21/12/2017;Second Class;66,284;0,8;2;LC-17140;OFF-AP-10003217;US-2017-116701
205;7/06/2017;Standard Class;35,168;0,2;7;HK-14890;FUR-FU-10002960;CA-2017-126382
206;14/12/2017;Standard Class;444,768;0,2;4;LE-16810;TEC-PH-10001918;CA-2017-108329
207;7/12/2017;Standard Class;83,92;0;4;JH-15985;OFF-ST-10000642;CA-2017-135860
208;7/12/2017;Standard Class;131,98;0;2;JH-15985;TEC-PH-10001700;CA-2017-135860
209;7/12/2017;Standard Class;15,92;0;4;JH-15985;OFF-BI-10003274;CA-2017-135860
210;7/12/2017;Standard Class;52,29;0;9;JH-15985;OFF-FA-10000134;CA-2017-135860
211;7/12/2017;Standard Class;91,99;0;1;JH-15985;OFF-ST-10001522;CA-2017-135860
212;13/02/2015;Second Class;20,8;0,2;2;MS-17980;TEC-AC-10001266;CA-2015-101007
213;9/01/2015;Standard Class;23,68;0,2;2;VW-21775;OFF-LA-10004544;CA-2015-146262
214;9/01/2015;Standard Class;452,45;0,5;5;VW-21775;FUR-BO-10004695;CA-2015-146262
215;9/01/2015;Standard Class;62,982;0,4;3;VW-21775;TEC-PH-10002844;CA-2015-146262
216;9/01/2015;Standard Class;1188;0,7;9;VW-21775;TEC-MA-10000864;CA-2015-146262
217;9/01/2015;Standard Class;89,584;0,2;2;VW-21775;TEC-AC-10000109;CA-2015-146262
218;1/11/2016;Standard Class;93,06;0;6;JH-15910;OFF-ST-10001328;CA-2016-130162
219;1/11/2016;Standard Class;302,376;0,2;3;JH-15910;TEC-PH-10002563;CA-2016-130162
220;27/12/2015;First Class;5,584;0,2;2;JB-15925;OFF-FA-10000585;CA-2015-169397
221;27/12/2015;First Class;22,704;0,2;6;JB-15925;OFF-PA-10004000;CA-2015-169397
222;27/12/2015;First Class;19,776;0,7;4;JB-15925;OFF-BI-10002852;CA-2015-169397
223;27/12/2015;First Class;72,704;0,2;4;JB-15925;FUR-FU-10000087;CA-2015-169397
224;27/12/2015;First Class;479,988;0,7;4;JB-15925;TEC-MA-10001148;CA-2015-169397
225;27/12/2015;First Class;27,168;0,2;2;JB-15925;OFF-AR-10001958;CA-2015-169397
226;16/08/2015;Standard Class;2,2;0;1;DS-13180;OFF-AR-10001026;CA-2015-163055
227;16/08/2015;Standard Class;622,45;0;5;DS-13180;FUR-TA-10003748;CA-2015-163055
228;16/08/2015;Standard Class;21,98;0;1;DS-13180;OFF-ST-10002485;CA-2015-163055
229;4/03/2015;Standard Class;161,568;0,2;2;VD-21670;FUR-CH-10004860;US-2015-145436
230;4/03/2015;Standard Class;389,696;0,2;8;VD-21670;FUR-CH-10004477;US-2015-145436
231;17/09/2014;Standard Class;18,648;0,7;7;EA-14035;OFF-BI-10001679;US-2014-156216
232;12/04/2017;Standard Class;233,86;0,45;2;CS-12400;FUR-TA-10001705;US-2017-100930
233;12/04/2017;Standard Class;620,6145;0,45;3;CS-12400;FUR-TA-10003473;US-2017-100930
234;12/04/2017;Standard Class;5,328;0,7;2;CS-12400;OFF-BI-10001679;US-2017-100930
235;12/04/2017;Standard Class;258,072;0,2;3;CS-12400;FUR-FU-10004017;US-2017-100930
236;12/04/2017;Standard Class;617,976;0,2;3;CS-12400;TEC-AC-10003832;US-2017-100930
237;16/11/2017;Standard Class;10,56;0;2;DB-13120;OFF-PA-10002479;CA-2017-160514
238;9/06/2016;Second Class;25,92;0,2;5;KL-16645;OFF-PA-10003349;CA-2016-157749
239;9/06/2016;Second Class;419,68;0,6;5;KL-16645;FUR-FU-10000576;CA-2016-157749
240;9/06/2016;Second Class;11,688;0,6;3;KL-16645;FUR-FU-10004351;CA-2016-157749
241;9/06/2016;Second Class;31,984;0,2;2;KL-16645;TEC-PH-10000011;CA-2016-157749
242;9/06/2016;Second Class;177,225;0,5;5;KL-16645;FUR-TA-10002607;CA-2016-157749
243;9/06/2016;Second Class;4,044;0,6;3;KL-16645;FUR-FU-10002505;CA-2016-157749
244;9/06/2016;Second Class;7,408;0,2;2;KL-16645;OFF-AR-10004685;CA-2016-157749
245;6/06/2014;Second Class;2001,86;0;7;DW-13480;FUR-CH-10004063;CA-2014-131926
246;6/06/2014;Second Class;166,72;0;2;DW-13480;OFF-ST-10002276;CA-2014-131926
247;6/06/2014;Second Class;47,88;0;6;DW-13480;OFF-PA-10004082;CA-2014-131926
248;6/06/2014;Second Class;1503,25;0;5;DW-13480;OFF-AP-10002945;CA-2014-131926
249;6/06/2014;Second Class;25,92;0;4;DW-13480;OFF-PA-10000061;CA-2014-131926
250;15/12/2016;Second Class;321,568;0,2;2;LH-17155;FUR-CH-10002965;CA-2016-154739
251;17/09/2016;Standard Class;7,61;0;1;KC-16540;OFF-PA-10004569;CA-2016-145625
252;17/09/2016;Standard Class;3347,37;0;13;KC-16540;TEC-AC-10003832;CA-2016-145625
253;13/12/2016;First Class;80,58;0;6;DL-13315;OFF-ST-10001228;CA-2016-146941
254;13/12/2016;First Class;361,92;0;4;DL-13315;OFF-EN-10003296;CA-2016-146941
255;4/12/2015;Standard Class;12,132;0,6;9;DR-12880;FUR-FU-10002505;US-2015-159982
256;4/12/2015;Standard Class;82,368;0,2;2;DR-12880;OFF-ST-10004804;US-2015-159982
257;4/12/2015;Standard Class;53,92;0,2;5;DR-12880;OFF-ST-10001590;US-2015-159982
258;4/12/2015;Standard Class;647,904;0,2;6;DR-12880;TEC-PH-10001580;US-2015-159982
259;3/12/2017;Second Class;20,37;0;3;CC-12670;TEC-AC-10000290;CA-2017-163139
260;3/12/2017;Second Class;221,55;0;3;CC-12670;OFF-ST-10002790;CA-2017-163139
261;3/12/2017;Second Class;17,52;0,2;5;CC-12670;OFF-BI-10003460;CA-2017-163139
262;12/06/2017;Standard Class;1,624;0,8;2;Dl-13600;OFF-AP-10002203;US-2017-155299
263;21/09/2014;Second Class;3059,982;0,4;3;SB-20290;TEC-MA-10000822;US-2014-106992
264;21/09/2014;Second Class;2519,958;0,4;7;SB-20290;TEC-MA-10003353;US-2014-106992
265;13/06/2016;Standard Class;328,224;0,2;4;RC-19825;TEC-PH-10001433;CA-2016-125318
266;15/11/2015;Standard Class;79,9;0;2;AH-10210;TEC-AC-10004469;CA-2015-155040
267;20/06/2017;Standard Class;14,016;0,2;3;CB-12535;OFF-AR-10003602;CA-2017-136826
268;28/01/2016;Standard Class;7,56;0;6;PG-18895;OFF-FA-10003472;CA-2016-111010
269;13/12/2017;Standard Class;37,208;0,2;1;CA-12310;OFF-ST-10004180;US-2017-145366
270;13/12/2017;Standard Class;57,576;0,2;3;CA-12310;OFF-EN-10004386;US-2017-145366
271;2/01/2018;Second Class;725,84;0;4;KH-16690;OFF-ST-10003208;CA-2017-163979
272;31/07/2015;First Class;209,93;0;7;HA-14920;TEC-AC-10003628;CA-2015-155334
273;31/07/2015;First Class;5,28;0;3;HA-14920;FUR-FU-10003274;CA-2015-155334
274;31/07/2015;First Class;10,92;0,2;3;HA-14920;OFF-BI-10002557;CA-2015-155334
275;17/09/2017;First Class;8,82;0;2;BB-10990;OFF-PA-10002615;CA-2017-118136
276;17/09/2017;First Class;5,98;0;1;BB-10990;OFF-AR-10001427;CA-2017-118136
277;17/10/2017;Standard Class;11,648;0,2;2;AG-10495;OFF-PA-10000673;CA-2017-132976
278;17/10/2017;Standard Class;18,176;0,2;4;AG-10495;OFF-PA-10004470;CA-2017-132976
279;17/10/2017;Standard Class;59,712;0,2;6;AG-10495;OFF-ST-10000876;CA-2017-132976
280;17/10/2017;Standard Class;24,84;0,2;3;AG-10495;OFF-LA-10002043;CA-2017-132976
281;28/09/2015;Second Class;2,08;0,8;5;SC-20725;OFF-BI-10004967;US-2015-161991
