Row ID;Ship Date;Ship Mode;Sales;Discount;Quantity;Customer ID;Product ID;Product Name;Order ID
22;13/12/2016;Standard Class;19.46;0;7;KB-16585;OFF-AR-10000246;Newell 318;CA-2016-137330
23;13/12/2016;Standard Class;60.34;0;7;KB-16585;OFF-AP-10001492;Acco Six-Outlet Power Strip, 4' Cord Length;CA-2016-137330
24;18/07/2017;Second Class;71.37;0.3;2;SF-20065;FUR-CH-10002774;Global Deluxe Stacking Chair, Gray;US-2017-156909
25;30/09/2015;Standard Class;1044.63;0;3;EB-13870;FUR-TA-10000577;Bretford CR4500 Series Slim Rectangular Table;CA-2015-106320
26;20/01/2016;Second Class;11.65;0.2;2;EH-13945;OFF-BI-10001634;Wilson Jones Active Use Binders;CA-2016-121755
27;20/01/2016;Second Class;90.57;0;3;EH-13945;TEC-AC-10003027;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;CA-2016-121755
28;21/09/2015;Standard Class;3083.43;0.5;7;TB-21520;FUR-BO-10004834;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;US-2015-150630
29;21/09/2015;Standard Class;9.62;0.7;2;TB-21520;OFF-BI-10000474;Avery Recycled Flexi-View Covers for Binding Systems;US-2015-150630
30;21/09/2015;Standard Class;124.2;0.2;3;TB-21520;FUR-FU-10004848;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";US-2015-150630
31;21/09/2015;Standard Class;3.26;0.2;2;TB-21520;OFF-EN-10001509;Poly String Tie Envelopes;US-2015-150630
32;21/09/2015;Standard Class;86.3;0.2;6;TB-21520;OFF-AR-10004042;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;US-2015-150630
33;21/09/2015;Standard Class;6.86;0.7;6;TB-21520;OFF-BI-10001525;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";US-2015-150630
34;21/09/2015;Standard Class;15.76;0.2;2;TB-21520;OFF-AR-10001683;Lumber Crayons;US-2015-150630
35;23/10/2017;Second Class;29.47;0.2;3;MA-17560;OFF-PA-10000249;Easy-staple paper;CA-2017-107727
36;10/12/2016;First Class;1097.54;0.2;7;GH-14485;TEC-PH-10004977;GE 30524EE4;CA-2016-117590
37;10/12/2016;First Class;190.92;0.6;5;GH-14485;FUR-FU-10003664;Electrix Architect's Clamp-On Swing Arm Lamp, Black;CA-2016-117590
38;31/12/2015;Standard Class;113.33;0.2;9;SN-20710;OFF-EN-10002986;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";CA-2015-117415
39;31/12/2015;Standard Class;532.4;0.32;3;SN-20710;FUR-BO-10002545;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;CA-2015-117415
40;31/12/2015;Standard Class;212.06;0.3;3;SN-20710;FUR-CH-10004218;Global Fabric Manager's Chair, Dark Gray;CA-2015-117415
41;31/12/2015;Standard Class;371.17;0.2;4;SN-20710;TEC-PH-10000486;Plantronics HL10 Handset Lifter;CA-2015-117415
42;15/09/2017;Standard Class;147.17;0.2;4;LC-16930;TEC-PH-10004093;Panasonic Kx-TS550;CA-2017-120999
43;22/07/2016;Standard Class;77.88;0;2;RA-19885;OFF-ST-10003479;Eldon Base for stackable storage shelf, platinum;CA-2016-101343
44;23/09/2017;Standard Class;95.62;0.2;2;ES-14080;OFF-ST-10003282;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;CA-2017-139619
45;13/03/2016;First Class;45.98;0;2;ON-18715;TEC-AC-10000171;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;CA-2016-118255
46;13/03/2016;First Class;17.46;0;2;ON-18715;OFF-BI-10003291;Wilson Jones Leather-Like Binders with DublLock Round Rings;CA-2016-118255
47;25/10/2014;Second Class;211.96;0;4;PO-18865;OFF-ST-10001713;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;CA-2014-146703
48;25/06/2016;Standard Class;45;0;3;LH-16900;TEC-AC-10002167;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;CA-2016-169194
49;25/06/2016;Standard Class;21.8;0;2;LH-16900;TEC-PH-10003988;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;CA-2016-169194
50;22/04/2015;Standard Class;38.22;0;6;DP-13000;OFF-BI-10004410;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;CA-2015-115742
51;22/04/2015;Standard Class;75.18;0;6;DP-13000;OFF-LA-10002762;Avery 485;CA-2015-115742
52;22/04/2015;Standard Class;6.16;0;2;DP-13000;FUR-FU-10001706;Longer-Life Soft White Bulbs;CA-2015-115742
53;22/04/2015;Standard Class;89.99;0;1;DP-13000;FUR-CH-10003061;Global Leather Task Chair, Black;CA-2015-115742
54;17/12/2016;Standard Class;15.26;0;7;JM-15265;OFF-FA-10000304;Advantus Push Pins;CA-2016-105816
55;17/12/2016;Standard Class;1029.95;0;5;JM-15265;TEC-PH-10002447;AT&T CL83451 4-Handset Telephone;CA-2016-105816
56;18/06/2016;First Class;208.56;0;6;TB-21055;OFF-ST-10000604;Home/Office Personal File Carts;CA-2016-111682
57;18/06/2016;First Class;32.4;0;5;TB-21055;OFF-PA-10001569;Xerox 232;CA-2016-111682
58;18/06/2016;First Class;319.41;0.1;5;TB-21055;FUR-CH-10003968;Novimex Turbo Task Chair;CA-2016-111682
59;18/06/2016;First Class;14.56;0;2;TB-21055;OFF-PA-10000587;Array Parchment Paper, Assorted Colors;CA-2016-111682
60;18/06/2016;First Class;30;0;2;TB-21055;TEC-AC-10002167;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;CA-2016-111682
61;18/06/2016;First Class;48.48;0.2;4;TB-21055;OFF-BI-10001460;Plastic Binding Combs;CA-2016-111682
62;18/06/2016;First Class;1.68;0;1;TB-21055;OFF-AR-10001868;Prang Dustless Chalk Sticks;CA-2016-111682
63;30/11/2015;Standard Class;13.98;0;2;KM-16720;TEC-AC-10004633;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;CA-2015-135545
64;30/11/2015;Standard Class;25.82;0.2;6;KM-16720;OFF-BI-10001078;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";CA-2015-135545
65;30/11/2015;Standard Class;146.73;0;3;KM-16720;OFF-PA-10003892;Xerox 1943;CA-2015-135545
66;30/11/2015;Standard Class;79.76;0;4;KM-16720;FUR-FU-10000397;Luxo Economy Swing Arm Lamp;CA-2015-135545
67;5/05/2015;Standard Class;213.12;0.3;5;PS-18970;FUR-CH-10001146;Global Value Mid-Back Manager's Chair, Gray;US-2015-164175
68;10/12/2014;Standard Class;1113.02;0.2;8;BS-11590;OFF-AR-10002671;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;CA-2014-106376
69;10/12/2014;Standard Class;167.97;0.2;4;BS-11590;TEC-PH-10002726;netTALK DUO VoIP Telephone Service;CA-2014-106376
70;6/06/2016;First Class;75.88;0;2;KD-16270;OFF-PA-10000482;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;CA-2016-119823
71;23/09/2016;Standard Class;4.62;0.2;1;HM-14980;OFF-BI-10004654;Avery Binding System Hidden Tab Executive Style Index Sets;CA-2016-106075
72;17/09/2017;Second Class;19.05;0;3;TB-21520;OFF-PA-10004675;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";CA-2017-114440
73;2/05/2015;Standard Class;831.94;0.2;8;JE-15745;FUR-CH-10000513;High-Back Leather Manager's Chair;US-2015-134026
74;2/05/2015;Standard Class;97.04;0.2;2;JE-15745;FUR-FU-10003708;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";US-2015-134026
75;2/05/2015;Standard Class;72.78;0.2;1;JE-15745;OFF-ST-10004123;Safco Industrial Wire Shelving System;US-2015-134026
76;11/12/2017;First Class;1.25;0.8;3;KB-16600;OFF-BI-10004182;Economy Binders;US-2017-118038
77;11/12/2017;First Class;9.71;0.6;3;KB-16600;FUR-FU-10000260;"6"" Cubicle Wall Clock, Black";US-2017-118038
78;11/12/2017;First Class;27.24;0.2;3;KB-16600;OFF-ST-10000615;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;US-2017-118038
79;1/12/2014;Second Class;19.3;0.6;5;JE-15745;FUR-FU-10003194;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;US-2014-147606
80;15/06/2016;First Class;208.16;0;1;SC-20770;OFF-AP-10002118;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";CA-2016-127208
81;15/06/2016;First Class;16.74;0;3;SC-20770;OFF-BI-10002309;Avery Heavy-Duty EZD  Binder With Locking Rings;CA-2016-127208
82;16/10/2014;Standard Class;14.9;0;5;DN-13690;OFF-AR-10002053;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;CA-2014-139451
83;16/10/2014;Standard Class;21.39;0;1;DN-13690;OFF-ST-10002370;Sortfiler Multipurpose Personal File Organizer, Black;CA-2014-139451
84;8/09/2015;Standard Class;200.98;0.2;7;JC-16105;OFF-EN-10000927;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;CA-2015-149734
85;16/11/2017;First Class;230.38;0.2;3;CS-12400;OFF-ST-10003656;Safco Industrial Wire Shelving;US-2017-119662
86;30/05/2017;Second Class;301.96;0;2;PO-18865;FUR-CH-10000863;Novimex Swivel Fabric Task Chair;CA-2017-140088
87;2/11/2017;Standard Class;19.99;0;1;PG-18895;TEC-AC-10001998;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;CA-2017-155558
88;2/11/2017;Standard Class;6.16;0;2;PG-18895;OFF-LA-10000134;Avery 511;CA-2017-155558
89;10/04/2016;Second Class;158.37;0.2;7;GM-14455;OFF-ST-10003442;Eldon Portable Mobile Manager;CA-2016-159695
90;22/09/2016;Standard Class;20.1;0;3;JS-15685;OFF-AR-10004930;Turquoise Lead Holder with Pocket Clip;CA-2016-109806
91;22/09/2016;Standard Class;73.58;0.2;2;JS-15685;TEC-PH-10004093;Panasonic Kx-TS550;CA-2016-109806
92;22/09/2016;Standard Class;6.48;0;1;JS-15685;OFF-PA-10000304;Xerox 1995;CA-2016-109806
93;5/02/2015;Second Class;12.96;0;2;KB-16315;OFF-PA-10003177;Xerox 1999;CA-2015-149587
94;5/02/2015;Second Class;53.34;0;3;KB-16315;FUR-FU-10003799;"Seth Thomas 13 1/2"" Wall Clock";CA-2015-149587
95;5/02/2015;Second Class;32.96;0;2;KB-16315;OFF-BI-10002852;Ibico Standard Transparent Covers;CA-2015-149587
96;12/11/2017;Standard Class;5.68;0.7;1;RB-19705;OFF-BI-10004738;Flexible Leather- Look Classic Collection Ring Binder;US-2017-109484
97;11/11/2017;Second Class;96.53;0;7;PN-18775;FUR-FU-10000629;9-3/4 Diameter Round Wall Clock;CA-2017-161018
98;20/06/2017;First Class;51.31;0.2;3;KD-16345;OFF-BI-10001721;Trimflex Flexible Post Binders;CA-2017-157833
99;11/09/2016;Standard Class;77.88;0;6;ER-13855;OFF-AP-10000358;Fellowes Basic Home/Office Series Surge Protectors;CA-2016-149223
100;2/09/2016;Standard Class;64.62;0.2;7;RB-19465;OFF-PA-10003256;Avery Personal Creations Heavyweight Cards;CA-2016-158568
101;2/09/2016;Standard Class;95.98;0.2;3;RB-19465;TEC-AC-10001767;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;CA-2016-158568
102;2/09/2016;Standard Class;1.79;0.8;3;RB-19465;OFF-BI-10002609;Avery Hidden Tab Dividers for Binding Systems;CA-2016-158568
103;4/12/2016;Second Class;23.92;0;4;GZ-14470;OFF-PA-10004040;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);CA-2016-129903
104;17/11/2015;Standard Class;238.9;0.2;6;LC-16870;TEC-AC-10001552;Logitech K350 2.4Ghz Wireless Keyboard;US-2015-156867
105;17/11/2015;Standard Class;102.36;0.2;3;LC-16870;FUR-FU-10004006;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;US-2015-156867
106;17/11/2015;Standard Class;36.88;0.7;3;LC-16870;OFF-BI-10002794;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";US-2015-156867
107;28/11/2017;Standard Class;74.11;0.2;8;JM-15250;TEC-AC-10003499;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;CA-2017-119004
108;28/11/2017;Standard Class;27.99;0.2;1;JM-15250;TEC-PH-10002844;Speck Products Candyshell Flip Case;CA-2017-119004
109;28/11/2017;Standard Class;3.3;0.2;1;JM-15250;OFF-AR-10000390;Newell Chalk Holder;CA-2017-119004
110;20/10/2015;Standard Class;339.96;0.2;5;PA-19060;TEC-AC-10000844;Logitech Gaming G510s - Keyboard;CA-2015-129476
111;30/12/2017;Standard Class;41.96;0;2;CV-12805;FUR-FU-10001934;Magnifier Swing Arm Lamp;CA-2017-146780
112;10/11/2016;Standard Class;75.96;0;2;CL-12565;OFF-AR-10000380;Hunt PowerHouse Electric Pencil Sharpener, Blue;CA-2016-128867
113;10/11/2016;Standard Class;27.24;0;6;CL-12565;OFF-BI-10003981;"Avery Durable Plastic 1"" Binders";CA-2016-128867
114;27/08/2014;Second Class;40.1;0.2;14;RC-19960;OFF-FA-10000621;OIC Colored Binder Clips, Assorted Sizes;CA-2014-115259
115;27/08/2014;Second Class;4.72;0.2;2;RC-19960;OFF-EN-10002600;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;CA-2014-115259
116;27/08/2014;Second Class;23.98;0.2;3;RC-19960;OFF-PA-10004965;Xerox 1921;CA-2014-115259
117;27/08/2014;Second Class;130.46;0.2;6;RC-19960;OFF-EN-10002504;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;CA-2014-115259
118;6/03/2015;Standard Class;787.53;0;3;DK-13090;FUR-TA-10001768;Hon Racetrack Conference Tables;CA-2015-110457
119;10/04/2015;Standard Class;157.79;0.7;1;GG-14650;OFF-BI-10003650;GBC DocuBind 300 Electric Binding Machine;US-2015-136476
120;15/06/2016;First Class;47.04;0;3;SC-20725;FUR-FU-10002157;Artistic Insta-Plaque;CA-2016-103730
121;15/06/2016;First Class;30.84;0;4;SC-20725;OFF-BI-10003910;DXL Angle-View Binders with Locking Rings by Samsill;CA-2016-103730
122;15/06/2016;First Class;226.56;0;6;SC-20725;OFF-ST-10000777;Companion Letter/Legal File, Black;CA-2016-103730
123;15/06/2016;First Class;115.02;0;9;SC-20725;OFF-EN-10002500;Globe Weis Peel & Seel First Class Envelopes;CA-2016-103730
124;15/06/2016;First Class;68.04;0;7;SC-20725;TEC-PH-10003875;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;CA-2016-103730
125;28/12/2014;Second Class;600.56;0.3;3;AD-10180;FUR-CH-10004063;Global Deluxe High-Back Manager's Chair;US-2014-152030
126;25/09/2014;Standard Class;617.7;0.5;6;PF-19165;FUR-TA-10004534;Bevis 44 x 96 Conference Tables;US-2014-134614
127;12/11/2017;Standard Class;2.39;0.7;2;TS-21610;OFF-BI-10003274;Avery Durable Slant Ring Binders, No Labels;US-2017-107272
128;12/11/2017;Standard Class;243.99;0.2;7;TS-21610;OFF-ST-10002974;Trav-L-File Heavy-Duty Shuttle II, Black;US-2017-107272
129;10/11/2016;Second Class;81.42;0.2;2;LS-16975;FUR-CH-10001146;Global Task Chair, Black;US-2016-125969
130;10/11/2016;Second Class;238.56;0;3;LS-16975;FUR-FU-10003773;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;US-2016-125969
131;5/02/2017;First Class;59.97;0.4;5;DW-13585;TEC-PH-10002293;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;US-2017-164147
132;5/02/2017;First Class;78.3;0.2;2;DW-13585;OFF-PA-10002377;Xerox 1916;US-2017-164147
133;5/02/2017;First Class;21.46;0.2;9;DW-13585;OFF-FA-10002780;Staples;US-2017-164147
134;19/10/2016;Standard Class;20.04;0;3;LC-16885;OFF-PA-10001804;Xerox 195;CA-2016-145583
135;19/10/2016;Standard Class;35.44;0;1;LC-16885;OFF-PA-10001736;Xerox 1880;CA-2016-145583
136;19/10/2016;Standard Class;11.52;0;4;LC-16885;OFF-AR-10001149;Sanford Colorific Colored Pencils, 12/Box;CA-2016-145583
137;19/10/2016;Standard Class;4.02;0;2;LC-16885;OFF-FA-10002988;Ideal Clamps;CA-2016-145583
138;19/10/2016;Standard Class;76.18;0.2;3;LC-16885;OFF-BI-10004781;GBC Wire Binding Strips;CA-2016-145583
139;19/10/2016;Standard Class;65.88;0;6;LC-16885;OFF-SU-10001218;Fiskars Softgrip Scissors;CA-2016-145583
140;19/10/2016;Standard Class;43.12;0;14;LC-16885;FUR-FU-10001706;Longer-Life Soft White Bulbs;CA-2016-145583
141;7/09/2016;Second Class;82.8;0.2;2;JD-15895;FUR-FU-10004848;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";CA-2016-110366
142;23/09/2017;Standard Class;8.82;0;3;SH-19975;OFF-AR-10000940;Newell 343;CA-2017-106180
143;23/09/2017;Standard Class;10.86;0;3;SH-19975;OFF-EN-10004030;Convenience Packs of Business Envelopes;CA-2017-106180
144;23/09/2017;Standard Class;143.7;0;3;SH-19975;OFF-PA-10004327;Xerox 1911;CA-2017-106180
145;27/12/2017;Standard Class;839.43;0;3;SG-20080;OFF-AP-10001058;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;CA-2017-155376
146;12/09/2015;Standard Class;671.93;0;7;HA-14920;OFF-ST-10003656;Safco Industrial Wire Shelving;CA-2015-110744
147;28/10/2014;Standard Class;93.89;0.2;4;MG-17680;FUR-FU-10000521;"Seth Thomas 14"" Putty-Colored Wall Clock";CA-2014-110072
148;9/12/2016;Standard Class;384.45;0;11;JE-16165;TEC-PH-10000215;Plantronics Cordless Phone Headset with In-line Volume - M214C;CA-2016-114489
149;9/12/2016;Standard Class;149.97;0;3;JE-16165;TEC-PH-10001448;Anker Astro 15000mAh USB Portable Charger;CA-2016-114489
150;9/12/2016;Standard Class;1951.84;0;8;JE-16165;FUR-CH-10000454;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;CA-2016-114489
151;9/12/2016;Standard Class;171.55;0;5;JE-16165;OFF-BI-10002735;GBC Prestige Therm-A-Bind Covers;CA-2016-114489
152;16/03/2016;First Class;157.92;0.2;5;TW-21025;OFF-AP-10000326;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;CA-2016-158834
153;16/03/2016;First Class;203.18;0.2;2;TW-21025;TEC-PH-10001254;Jabra BIZ 2300 Duo QD Duo Corded Headset;CA-2016-158834
154;2/06/2015;First Class;58.38;0;7;SP-20650;OFF-PA-10001950;Southworth 25% Cotton Antique Laid Paper & Envelopes;CA-2015-124919
155;2/06/2015;First Class;105.52;0;4;SP-20650;OFF-PA-10002254;Xerox 1883;CA-2015-124919
156;2/06/2015;First Class;80.88;0;6;SP-20650;OFF-ST-10001590;Tenex Personal Project File with Scoop Front Design, Black;CA-2015-124919
157;3/06/2015;Standard Class;6.63;0;3;NK-18490;OFF-AR-10001547;Newell 311;CA-2015-118948
158;6/03/2014;Second Class;457.57;0.2;2;DB-13060;FUR-CH-10004063;Global Deluxe High-Back Manager's Chair;CA-2014-104269
159;24/11/2016;Standard Class;14.62;0;2;NP-18670;OFF-LA-10002475;Avery 519;CA-2016-114104
160;24/11/2016;Standard Class;944.93;0;7;NP-18670;TEC-PH-10004536;Avaya 5420 Digital phone;CA-2016-114104
161;12/05/2016;First Class;5.98;0;1;TT-21070;OFF-PA-10002751;Xerox 1920;CA-2016-162733
162;31/12/2015;Second Class;54.38;0.2;2;EM-13960;TEC-AC-10003657;Lenovo 17-Key USB Numeric Keypad;CA-2015-119697
163;20/11/2016;Standard Class;28.4;0;5;RD-19900;OFF-EN-10001990;Staple envelope;CA-2016-154508
164;11/11/2016;Standard Class;27.68;0.2;2;MJ-17740;OFF-BI-10004002;Wilson Jones International Size A4 Ring Binders;CA-2016-113817
165;12/09/2014;Standard Class;9.94;0.2;3;BM-11140;OFF-AR-10004441;BIC Brite Liner Highlighters;CA-2014-139892
166;12/09/2014;Standard Class;8159.95;0.4;8;BM-11140;TEC-MA-10000822;Lexmark MX611dhe Monochrome Laser Printer;CA-2014-139892
167;12/09/2014;Standard Class;275.93;0.2;3;BM-11140;OFF-ST-10000991;Space Solutions HD Industrial Steel Shelving.;CA-2014-139892
168;12/09/2014;Standard Class;1740.06;0.3;9;BM-11140;FUR-CH-10004287;SAFCO Arco Folding Chair;CA-2014-139892
169;12/09/2014;Standard Class;32.06;0.2;6;BM-11140;OFF-AR-10002656;Sanford Liquid Accent Highlighters;CA-2014-139892
170;12/09/2014;Standard Class;177.98;0.8;5;BM-11140;OFF-AP-10002518;Kensington 7 Outlet MasterPiece Power Center;CA-2014-139892
171;12/09/2014;Standard Class;143.98;0.2;3;BM-11140;TEC-PH-10003931;JBL Micro Wireless Portable Bluetooth Speaker;CA-2014-139892
172;9/08/2014;Standard Class;20.94;0;3;CS-12130;OFF-PA-10000659;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;CA-2014-118962
173;9/08/2014;Standard Class;110.96;0;2;CS-12130;OFF-PA-10001144;Xerox 1913;CA-2014-118962
174;9/08/2014;Standard Class;340.14;0.2;7;CS-12130;FUR-CH-10003817;Global Value Steno Chair, Gray;CA-2014-118962
175;19/09/2014;Standard Class;52.45;0.8;2;JB-15400;OFF-AP-10000891;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;US-2014-100853
176;19/09/2014;Standard Class;20.16;0.2;4;JB-15400;OFF-LA-10003148;Avery 51;US-2014-100853
177;25/04/2017;Second Class;97.26;0.8;4;SJ-20500;OFF-AP-10002684;Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;US-2017-152366
178;23/11/2015;Second Class;396.8;0.3;7;JE-15745;FUR-CH-10004698;Padded Folding Chairs, Black, 4/Carton;US-2015-101511
179;23/11/2015;Second Class;15.88;0.2;5;JE-15745;OFF-SU-10002189;Acme Rosewood Handle Letter Opener;US-2015-101511
180;19/12/2015;Standard Class;3.28;0;1;JK-15640;OFF-AR-10001940;Sanford Colorific Eraseable Coloring Pencils, 12 Count;CA-2015-137225
181;9/12/2014;Second Class;24.82;0.2;2;DK-13150;OFF-ST-10003455;Tenex File Box, Personal Filing Tote with Lid, Black;CA-2014-166191
182;9/12/2014;Second Class;408.74;0.2;7;DK-13150;TEC-AC-10004659;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";CA-2014-166191
183;24/11/2014;Second Class;503.96;0;4;RM-19675;TEC-PH-10003273;AT&T TR1909W;CA-2014-158274
184;24/11/2014;Second Class;149.95;0;5;RM-19675;TEC-PH-10004896;Nokia Lumia 521 (T-Mobile);CA-2014-158274
185;24/11/2014;Second Class;29;0;2;RM-19675;TEC-AC-10002345;HP Standard 104 key PS/2 Keyboard;CA-2014-158274
186;2/12/2016;Standard Class;7.16;0;2;SK-19990;OFF-BI-10001890;Avery Poly Binder Pockets;CA-2016-105018
187;30/08/2014;Standard Class;176.8;0;8;FM-14290;TEC-AC-10002323;SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;CA-2014-123260
188;22/07/2016;Standard Class;37.22;0.2;3;AM-10360;OFF-ST-10001328;Personal Filing Tote with Lid, Black/Gray;CA-2016-157000
189;22/07/2016;Standard Class;20.02;0.2;3;AM-10360;OFF-PA-10001950;Southworth 25% Cotton Antique Laid Paper & Envelopes;CA-2016-157000
190;14/10/2015;First Class;899.14;0.2;4;MP-17470;FUR-BO-10002613;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;CA-2015-102281
191;14/10/2015;First Class;71.76;0;6;MP-17470;TEC-PH-10001552;I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;CA-2015-102281
192;14/10/2015;First Class;51.84;0;8;MP-17470;OFF-PA-10000061;Xerox 205;CA-2015-102281
193;14/10/2015;First Class;626.35;0.2;3;MP-17470;FUR-BO-10002545;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;CA-2015-102281
194;14/10/2015;First Class;19.9;0;5;MP-17470;OFF-AR-10003514;4009 Highlighters by Sanford;CA-2015-102281
195;6/11/2015;Standard Class;14.28;0;7;MZ-17515;OFF-EN-10001509;Poly String Tie Envelopes;CA-2015-131457
