Customer ID;Postal Code;City
VW-21775;44256;Medina
JH-15910;90032;Los Angeles
JB-15925;43017;Dublin
DS-13180;48227;Detroit
VD-21670;38401;Columbia
EA-14035;28205;Charlotte
CS-12400;33614;Tampa
DB-13120;95051;Santa Clara
KL-16645;60610;Chicago
DW-13480;55044;Lakeville
LH-17155;94109;San Francisco
KC-16540;92037;San Diego
DL-13315;10024;New York City
DR-12880;60623;Chicago
CC-12670;10009;New York City
Dl-13600;77506;Pasadena
SB-20290;77036;Houston
RC-19825;60610;Chicago
AH-10210;94513;Brentwood
CB-12535;27514;Chapel Hill
PG-18895;7960;Morristown
CA-12310;45231;Cincinnati
KH-16690;94110;San Francisco
HA-14920;94109;San Francisco
BB-10990;90301;Inglewood
AG-10495;19140;Philadelphia
SC-20725;77070;Houston
JO-15280;90004;Los Angeles
TB-21520;97206;Portland
AH-10195;33319;Tamarac
NZ-18565;43229;Columbus
KL-16555;80906;Colorado Springs
JD-15895;7109;Belleville
JH-15910;60623;Chicago
AS-10225;10024;New York City
KB-16600;48180;Taylor
CR-12625;8701;Lakewood
SH-20395;22204;Arlington
BP-11185;80004;Arvada
TS-21205;7601;Hackensack
AG-10525;33710;Saint Petersburg
SP-20860;19143;Philadelphia
NM-18445;10024;New York City
FA-14230;90805;Long Beach
GK-14620;92345;Hesperia
DJ-13510;37130;Murfreesboro
PO-18850;19143;Philadelphia
JL-15850;19134;Philadelphia
DB-13615;90045;Los Angeles
AC-10420;94122;San Francisco
KL-16645;84041;Layton
CS-12130;78745;Austin
CC-12550;94122;San Francisco
TD-20995;1852;Lowell
AB-10060;10009;New York City
JL-15505;10035;New York City
HK-14890;28205;Charlotte
VB-21745;31907;Columbus
KW-16435;10009;New York City
JD-16060;94109;San Francisco
MK-17905;6040;Manchester
GT-14755;78550;Harlingen
AG-10900;85705;Tucson
MM-18280;62301;Quincy
AR-10405;2038;Franklin
RA-19915;77095;Houston
AS-10285;94109;San Francisco
LA-16780;48180;Taylor
DO-13435;33024;Pembroke Pines
DK-13225;19140;Philadelphia
NG-18430;45231;Cincinnati
MV-18190;10009;New York City
JG-15115;98198;Des Moines
BP-11095;61604;Peoria
VP-21730;89115;Las Vegas
SS-20140;2886;Warwick
HP-14815;49201;Jackson
AG-10675;77036;Houston
LF-17185;33180;Miami
SP-20650;28403;Wilmington
RF-19840;10024;New York City
KH-16510;94110;San Francisco
KC-16675;98105;Seattle
CJ-12010;92646;Huntington Beach
PB-19150;90004;Los Angeles
VB-21745;40475;Richmond
SP-20860;90045;Los Angeles
JE-15745;80027;Louisville
MP-17965;1841;Lawrence
NF-18385;39212;Jackson
JM-15265;48187;Canton
SD-20485;10801;New Rochelle
KH-16630;78207;San Antonio
RB-19795;28052;Gastonia
DB-13060;1852;Lowell
MK-18160;32216;Jacksonville
PO-19180;60623;Chicago
BB-11545;77070;Houston
CV-12805;10024;New York City
PK-19075;48227;Detroit
TB-21595;47201;Columbus
RB-19360;13021;Auburn
EB-13705;44312;Akron
KH-16630;73071;Norman
SC-20095;94521;Concord
NF-18385;62521;Decatur
JH-15985;98115;Seattle
TN-21040;85023;Phoenix
JS-15940;60068;Park Ridge
DS-13180;79109;Amarillo
CC-12670;60610;Chicago
MH-17785;11757;Lindenhurst
JP-15520;94110;San Francisco
KH-16690;90008;Los Angeles
JE-15475;12180;Troy
JG-15805;10024;New York City
XP-21865;92024;San Diego
EM-14065;10024;New York City
MT-18070;90045;Los Angeles
SA-20830;60610;Chicago
CW-11905;77340;Huntsville
AJ-10960;14609;Rochester
SS-20590;98115;Seattle
RO-19780;38109;Memphis
MD-17350;72701;Fayetteville
SC-20095;92627;Costa Mesa
MY-17380;80134;Parker
EB-13705;10024;New York City
CM-12385;30318;Atlanta
LS-17245;64118;Gladstone
LF-17185;43055;Newark
BN-11515;90049;Los Angeles
AD-10180;59405;Great Falls
DB-13210;77041;Houston
MC-17605;48234;Detroit
LH-17155;90032;Los Angeles
BD-11605;1841;Lawrence
PH-18790;33801;Lakeland
MG-18145;19134;Philadelphia
KB-16240;90036;Los Angeles
JC-15340;90032;Los Angeles
RL-19615;36116;Montgomery
AA-10375;85204;Mesa
EP-13915;60653;Chicago
MP-17470;10009;New York City
DK-12985;42420;Henderson
BD-11500;54302;Green Bay
ES-14080;85705;Tucson
LM-17065;45503;Springfield
PG-18895;76106;Fort Worth
AS-10135;10035;New York City
DK-13225;60653;Chicago
BD-11320;94110;San Francisco
RC-19960;32216;Jacksonville
GT-14710;77070;Houston
DK-13225;92804;Anaheim
AJ-10945;28403;Wilmington
OT-18730;90045;Los Angeles
LP-17080;94110;San Francisco
CA-12775;33614;Tampa
JF-15490;98105;Seattle
FP-14320;90008;Los Angeles
EB-13840;98105;Seattle
JF-15415;10024;New York City
SF-20200;98270;Marysville
TG-21640;90805;Long Beach
CS-11950;60610;Chicago
CC-12145;90004;Los Angeles
DV-13465;80219;Denver
BD-11725;40475;Richmond
ZC-21910;97301;Salem
MS-17830;78041;Laredo
LR-16915;92024;San Diego
TP-21130;19134;Philadelphia
CK-12205;19120;Philadelphia
AS-10240;33614;Tampa
AR-10510;19134;Philadelphia
NB-18655;75217;Dallas
GD-14590;19143;Philadelphia
CK-12595;43123;Grove City
NG-18355;10011;New York City
CA-12265;60610;Chicago
SF-20965;48126;Dearborn
MO-17800;10009;New York City
AT-10735;98115;Seattle
LC-17140;94122;San Francisco
FM-14380;80013;Aurora
BD-11605;33180;Miami
DJ-13420;31088;Warner Robins
ME-17725;80013;Aurora
RB-19465;94591;Vallejo
JD-16150;55407;Minneapolis
JL-15835;92691;Mission Viejo
SC-20305;48307;Rochester Hills
TW-21025;7060;Plainfield
CC-12430;47201;Columbus
BB-10990;85635;Sierra Vista
AR-10825;98661;Vancouver
SR-20740;10024;New York City
AR-10405;10035;New York City
CR-12730;43229;Columbus
EH-14125;60505;Aurora
CB-12025;76017;Arlington
SP-20545;10011;New York City
RC-19825;40214;Louisville
TH-21235;75081;Dallas
RP-19390;44105;Cleveland
MO-17800;60653;Chicago
TD-20995;62301;Quincy
RB-19570;47201;Columbus
CD-11980;75701;Tyler
DJ-13630;10024;New York City
GT-14635;27217;Burlington
MC-17845;39212;Jackson
RA-19285;10035;New York City
NP-18325;22980;Waynesboro
AB-10165;90036;Los Angeles
JO-15550;19013;Chester
Dl-13600;44105;Cleveland
AS-10285;98103;Seattle
JK-15370;90805;Long Beach
BN-11470;27511;Cary
DP-13165;10035;New York City
TH-21550;10035;New York City
AP-10915;32137;Palm Coast
RS-19765;10550;Mount Vernon
Dl-13600;98105;Seattle
SV-20365;19901;Dover
KC-16540;43055;Newark
CK-12325;84057;Orem
RD-19810;90045;Los Angeles
MP-17965;48205;Detroit
MR-17545;19140;Philadelphia
SC-20695;33012;Hialeah
JF-15355;78745;Austin
EG-13900;11572;Oceanside
DS-13030;98115;Seattle
GZ-14470;94110;San Francisco
PO-19195;60540;Naperville
SS-20875;75220;Dallas
MH-17785;92105;San Diego
PB-19105;60201;Evanston
RF-19735;48183;Trenton
YC-21895;94110;San Francisco
MS-17830;90036;Los Angeles
NB-18655;32216;Jacksonville
DC-13285;55016;Cottage Grove
CP-12340;10009;New York City
BF-11020;54302;Green Bay
AR-10510;90004;Los Angeles
JC-16105;30318;Atlanta
LH-17020;43229;Columbus
CS-12250;71111;Bossier City
AJ-10795;33710;Saint Petersburg
LE-16810;22204;Arlington
BV-11245;50315;Des Moines
DL-12865;45231;Cincinnati
NZ-18565;94110;San Francisco
BM-11785;43229;Columbus
EA-14035;29203;Columbia
CL-12565;93534;Lancaster
LT-17110;93534;Lancaster
SA-20830;23223;Richmond
JK-15730;28806;Asheville
ES-14020;94110;San Francisco
RH-19495;55901;Rochester
DB-13120;14609;Rochester
CD-11920;92530;Lake Elsinore
HW-14935;92105;San Diego
HW-14935;10024;New York City
MC-18130;71203;Monroe
GM-14440;94122;San Francisco
RA-19915;80219;Denver
AA-10375;68104;Omaha
ZC-21910;98026;Edmonds
PJ-19015;92704;Santa Ana
BW-11110;53209;Milwaukee
DB-13210;19140;Philadelphia
CA-12775;19140;Philadelphia
TR-21325;7109;Belleville
PG-18820;94110;San Francisco
GT-14710;55044;Lakeville
JE-15745;41042;Florence
JB-15400;33614;Tampa
LH-17020;75701;Tyler
JL-15175;38401;Columbia
EB-13705;76106;Fort Worth
BM-11650;10035;New York City
EM-14095;90036;Los Angeles
AF-10885;40214;Louisville
GA-14725;44052;Lorain
CK-12760;7036;Linden
DP-13105;93905;Salinas
VD-21670;39212;Jackson
GT-14710;10035;New York City
BK-11260;10035;New York City
SJ-20125;8901;New Brunswick
CM-12445;94122;San Francisco
AJ-10795;32216;Jacksonville
AJ-10780;22153;Springfield
LS-16945;19140;Philadelphia
GP-14740;17602;Lancaster
PK-18910;19143;Philadelphia
TB-21520;3301;Concord
SM-20005;10009;New York City
GA-14725;28205;Charlotte
CC-12430;3301;Concord
AG-10765;19120;Philadelphia
HP-14815;10024;New York City
DK-13090;22153;Springfield
GZ-14470;94109;San Francisco
PM-19135;48227;Detroit
LL-16840;14609;Rochester
JS-15595;90045;Los Angeles
OT-18730;92105;San Diego
EL-13735;21044;Columbia
CK-12760;94122;San Francisco
JE-15475;10801;New Rochelle
TH-21550;48227;Detroit
PC-18745;94122;San Francisco
HL-15040;77095;Houston
MS-17365;48227;Detroit
GB-14530;13021;Auburn
JR-16210;45503;Springfield
TD-20995;75043;Garland
DB-13060;60653;Chicago
LC-17140;90032;Los Angeles
PO-18865;10009;New York City
BE-11335;49201;Jackson
SC-20050;6360;Norwich
BM-11650;53209;Milwaukee
KL-16555;78207;San Antonio
RW-19630;75220;Dallas
RC-19825;22304;Alexandria
SE-20110;10009;New York City
AH-10075;10011;New York City
JM-15535;19143;Philadelphia
JJ-15760;22153;Springfield
AB-10165;43615;Toledo
RK-19300;19140;Philadelphia
CG-12040;19120;Philadelphia
RA-19885;87401;Farmington
RP-19270;92503;Riverside
KC-16255;94110;San Francisco
RW-19630;90503;Torrance
JL-15850;98105;Seattle
CA-12775;85204;Mesa
RB-19795;19120;Philadelphia
KH-16360;19143;Philadelphia
GH-14665;78664;Round Rock
SW-20275;39212;Jackson
JA-15970;85023;Phoenix
DL-12925;92054;Oceanside
LW-16990;94110;San Francisco
TB-21190;72701;Fayetteville
CV-12805;94110;San Francisco
MS-17365;33433;Boca Raton
BS-11800;10011;New York City
DL-13315;19134;Philadelphia
PO-19195;10011;New York City
TD-20995;97206;Portland
BW-11110;48205;Detroit
RW-19690;28403;Wilmington
KB-16600;47201;Columbus
EB-13870;10035;New York City
TZ-21580;80027;Louisville
AS-10630;77506;Pasadena
TS-21340;77041;Houston
JG-15805;13021;Auburn
SL-20155;32216;Jacksonville
TS-21610;10024;New York City
RF-19735;95123;San Jose
MW-18235;23464;Virginia Beach
RD-19585;42420;Henderson
FM-14290;98661;Vancouver
RH-19495;10024;New York City
RA-19945;92563;Murrieta
JK-15730;28540;Jacksonville
MT-17815;85254;Scottsdale
PO-18850;52601;Burlington
AT-10735;60653;Chicago
VG-21790;92037;San Diego
PF-19165;98502;Olympia
JS-15880;98103;Seattle
MO-17800;90036;Los Angeles
KM-16225;10011;New York City
GT-14710;20016;Washington
PB-19150;19134;Philadelphia
HR-14770;90045;Los Angeles
DE-13255;45503;Springfield
LA-16780;7601;Hackensack
AG-10390;45231;Cincinnati
EL-13735;65109;Jefferson City
JJ-15445;90004;Los Angeles
JH-15430;27217;Burlington
RD-19660;63376;Saint Peters
MO-17500;10035;New York City
NS-18640;60610;Chicago
SN-20710;61107;Rockford
ZC-21910;33142;Miami
LC-16885;94109;San Francisco
DG-13300;19134;Philadelphia
NF-18595;10009;New York City
BP-11185;92037;San Diego
MG-17650;19143;Philadelphia
JD-16060;77095;Houston
TS-21160;43615;Toledo
BD-11620;94122;San Francisco
CM-12160;78521;Brownsville
RB-19795;19143;Philadelphia
SN-20560;90008;Los Angeles
EH-14005;80219;Denver
FO-14305;10035;New York City
MS-17710;85204;Mesa
CC-12100;47201;Columbus
DW-13540;98105;Seattle
BT-11395;48227;Detroit
KD-16270;10701;Yonkers
LC-16870;50315;Des Moines
CY-12745;94601;Oakland
LW-16990;28110;Monroe
NP-18325;92105;San Diego
BT-11485;20735;Clinton
PS-19045;28205;Charlotte
NS-18640;90049;Los Angeles
PV-18985;94122;San Francisco
RP-19390;77041;Houston
NM-18520;92503;Riverside
EH-13945;77041;Houston
RA-19915;92024;Encinitas
DL-13495;94110;San Francisco
CS-12355;30076;Roswell
HL-15040;72401;Jonesboro
PA-19060;47374;Richmond
BD-11605;22153;Springfield
GG-14650;94509;Antioch
JS-15940;19134;Philadelphia
LR-16915;33030;Homestead
FH-14275;46350;La Porte
AP-10915;90045;Los Angeles
NC-18340;48911;Lansing
CB-12535;44221;Cuyahoga Falls
KL-16555;89502;Reno
PS-19045;22801;Harrisonburg
GB-14530;90004;Los Angeles
AA-10315;55407;Minneapolis
LT-16765;92025;Escondido
AP-10720;10035;New York City
PM-18940;49201;Jackson
KC-16540;98115;Seattle
DL-13315;10035;New York City
SW-20275;48073;Royal Oak
AA-10375;90008;Los Angeles
LT-17110;61701;Bloomington
DP-13105;10035;New York City
AB-10060;3301;Concord
AT-10435;90004;Los Angeles
JE-15745;20852;Rockville
CA-12055;77070;Houston
DB-13060;8701;Lakewood
RB-19570;28540;Jacksonville
HR-14830;98103;Seattle
BT-11530;90036;Los Angeles
NG-18355;33065;Coral Springs
ZC-21910;77041;Houston
LS-16945;80219;Denver
LH-16750;28205;Charlotte
SW-20755;10009;New York City
SP-20620;19134;Philadelphia
BF-11170;90036;Los Angeles
BM-11140;10024;New York City
ZC-21910;90045;Los Angeles
KT-16480;14215;Buffalo
BG-11695;45231;Cincinnati
PG-18820;33437;Boynton Beach
GM-14680;98105;Seattle
MO-17800;10024;New York City
PG-18820;10009;New York City
EJ-14155;39503;Gulfport
NP-18700;93727;Fresno
DJ-13630;10009;New York City
IM-15070;53209;Milwaukee
MH-18115;19013;Chester
RB-19795;28205;Charlotte
JR-15700;32216;Jacksonville
SM-20950;27834;Greenville
CS-12355;11561;Long Beach
CC-12220;46350;La Porte
PF-19225;94122;San Francisco
JC-16105;90045;Los Angeles
BG-11695;80027;Louisville
DC-12850;35630;Florence
SP-20545;60623;Chicago
MS-17710;76106;Fort Worth
BD-11770;77070;Houston
KC-16255;31204;Macon
TR-21325;52402;Cedar Rapids
SA-20830;32216;Jacksonville
KW-16435;78745;Austin
GM-14500;2908;Providence
AD-10180;10035;New York City
TB-21355;10009;New York City
CC-12430;94122;San Francisco
PF-19165;92105;San Diego
JH-16180;81001;Pueblo
EB-13975;94533;Fairfield
QJ-19255;55106;Saint Paul
AA-10315;94109;San Francisco
LC-17140;22153;Springfield
TC-21535;22204;Arlington
CS-12460;31907;Columbus
BM-11785;77036;Houston
RC-19825;91104;Pasadena
FM-14380;1841;Lawrence
PK-19075;43229;Columbus
HG-14965;90032;Los Angeles
HA-14920;19120;Philadelphia
LW-16825;32725;Deltona
MC-17575;45231;Cincinnati
LP-17095;42071;Murray
EB-14170;28403;Wilmington
GZ-14545;1841;Lawrence
LE-16810;60653;Chicago
AD-10180;19120;Philadelphia
CP-12085;6360;Norwich
FG-14260;94110;San Francisco
LD-17005;94109;San Francisco
AB-10255;44052;Lorain
MN-17935;75220;Dallas
HP-14815;90049;Los Angeles
JR-15670;6457;Middletown
JF-15190;90008;Los Angeles
CM-12115;10011;New York City
AS-10045;28540;Jacksonville
KB-16315;11520;Freeport
BN-11515;55044;Lakeville
BP-11290;60201;Evanston
AS-10045;22204;Arlington
LW-16990;94109;San Francisco
DC-12850;77036;Houston
ND-18370;40214;Louisville
LB-16735;76106;Fort Worth
KT-16465;90049;Los Angeles
HM-14860;19120;Philadelphia
AB-10600;85705;Tucson
SZ-20035;90660;Pico Rivera
JR-15670;80906;Colorado Springs
MG-17890;20735;Clinton
KM-16720;94591;Vallejo
CA-12265;84604;Provo
VD-21670;84062;Pleasant Grove
JK-16120;60505;Aurora
PP-18955;30080;Smyrna
YS-21880;27217;Burlington
CK-12760;60505;Aurora
NC-18340;10035;New York City
KM-16375;24153;Salem
GM-14455;43229;Columbus
SD-20485;19143;Philadelphia
KD-16270;10024;New York City
AB-10105;85023;Phoenix
SZ-20035;75051;Grand Prairie
JD-15895;10035;New York City
HA-14905;10024;New York City
BT-11305;92627;Costa Mesa
SV-20815;77041;Houston
RW-19540;85204;Mesa
DK-12835;93905;Salinas
LT-17110;43229;Columbus
IM-15070;35630;Florence
FP-14320;98105;Seattle
ST-20530;44134;Parma
JE-15745;79109;Amarillo
BD-11320;2908;Providence
MM-17920;94110;San Francisco
PW-19030;40475;Richmond
SC-20440;80013;Aurora
KL-16645;60623;Chicago
SD-20485;60653;Chicago
TS-21160;19134;Philadelphia
JB-15400;90008;Los Angeles
TS-21085;85023;Phoenix
MC-17425;36608;Mobile
ME-17320;31907;Columbus
SC-20440;2740;New Bedford
NH-18610;75061;Irving
AA-10480;6457;Middletown
LC-17140;98103;Seattle
MB-18085;8360;Vineland
LC-16930;77506;Pasadena
KD-16495;10009;New York City
MB-17305;85301;Glendale
TH-21550;32216;Jacksonville
DK-12835;48234;Detroit
ON-18715;19120;Philadelphia
KN-16390;90004;Los Angeles
NM-18520;77036;Houston
NP-18685;14304;Niagara Falls
CG-12040;10024;New York City
CS-12505;27360;Thomasville
KD-16345;92683;Westminster
MK-18160;94122;San Francisco
DW-13540;38301;Jackson
CP-12340;98115;Seattle
MS-17770;10035;New York City
CM-12655;90008;Los Angeles
Co-12640;19143;Philadelphia
DL-13495;10024;New York City
TS-21370;10035;New York City
JW-15220;98661;Vancouver
RF-19840;31907;Columbus
JD-15790;75019;Coppell
NK-18490;94122;San Francisco
NG-18430;78745;Austin
AT-10435;90045;Los Angeles
PC-19000;90004;Los Angeles
AR-10540;10024;New York City
CS-12505;31907;Columbus
LS-16975;68104;Omaha
JM-15535;90036;Los Angeles
NH-18610;91767;Pomona
RA-19915;75220;Dallas
AI-10855;19120;Philadelphia
MC-17845;89031;North Las Vegas
TB-21400;98105;Seattle
VW-21775;94110;San Francisco
PL-18925;60610;Chicago
GH-14425;85705;Tucson
CJ-12010;18103;Allentown
MC-18130;19711;Newark
BV-11245;33142;Miami
JF-15490;85281;Tempe
EB-13840;10035;New York City
MP-18175;92677;Laguna Niguel
JM-15655;8302;Bridgeton
CL-11890;2149;Everett
CK-12205;43229;Columbus
DB-13270;92024;San Diego
PC-18745;13601;Watertown
VB-21745;78207;San Antonio
EP-13915;10011;New York City
ME-17320;77095;Houston
IG-15085;92024;San Diego
JS-15940;54915;Appleton
BO-11425;40475;Richmond
VW-21775;98006;Bellevue
AB-10150;11561;Long Beach
JW-16075;19140;Philadelphia
JE-15475;98103;Seattle
EB-13750;98103;Seattle
PK-18910;94109;San Francisco
CS-12400;98115;Seattle
SG-20470;10011;New York City
CM-12190;19134;Philadelphia
CL-12565;29203;Columbia
JO-15550;98105;Seattle
AW-10840;75002;Allen
DV-13465;90004;Los Angeles
AH-10075;30318;Atlanta
SC-20095;90004;Los Angeles
MC-18100;79907;El Paso
TT-21460;60505;Aurora
AP-10720;35630;Florence
DL-12865;10011;New York City
NP-18325;10024;New York City
VG-21805;23464;Virginia Beach
MY-18295;76051;Grapevine
RD-19480;98502;Olympia
JF-15490;90032;Los Angeles
DP-13390;61604;Peoria
MD-17350;43229;Columbus
MY-17380;10011;New York City
AB-10150;75007;Carrollton
GB-14530;19901;Dover
CA-12775;37167;Smyrna
ME-17725;19711;Newark
JO-15280;90049;Los Angeles
ML-17395;90008;Los Angeles
YS-21880;94601;Oakland
PL-18925;19143;Philadelphia
JK-16120;55122;Eagan
PN-18775;10011;New York City
JC-15385;98031;Kent
JG-15160;90049;Los Angeles
PO-19180;10011;New York City
MC-17275;70506;Lafayette
AS-10240;44105;Cleveland
CL-12565;44105;Cleveland
NW-18400;97224;Tigard
TB-21280;20016;Washington
BS-11380;60076;Skokie
FH-14365;98115;Seattle
VM-21685;19140;Philadelphia
SF-20200;19143;Philadelphia
HH-15010;94110;San Francisco
CD-12280;98105;Seattle
HL-15040;53209;Milwaukee
TH-21100;90045;Los Angeles
MM-18055;98115;Seattle
QJ-19255;19143;Philadelphia
NS-18505;75217;Dallas
MM-17920;10011;New York City
RD-19480;77095;Houston
RB-19645;89031;North Las Vegas
RD-19585;75023;Plano
SW-20455;23434;Suffolk
SF-20965;77041;Houston
EB-13930;94110;San Francisco
SB-20290;19134;Philadelphia
PS-18760;90008;Los Angeles
CB-12535;94110;San Francisco
DK-12835;19143;Philadelphia
AW-10840;19140;Philadelphia
TS-21610;19143;Philadelphia
HF-14995;46203;Indianapolis
HZ-14950;43229;Columbus
AB-10255;75023;Plano
PO-19195;7002;Bayonne
AG-10900;90008;Los Angeles
SC-20725;98115;Seattle
ND-18370;10035;New York City
CD-12790;92037;San Diego
PG-18820;85301;Glendale
IM-15070;19120;Philadelphia
JK-15205;94122;San Francisco
JP-15520;77070;Houston
MM-18055;60610;Chicago
DC-13285;94110;San Francisco
JL-15835;10011;New York City
BN-11515;10011;New York City
KD-16345;60623;Chicago
JK-15370;19143;Philadelphia
FM-14215;43017;Dublin
CA-12265;22153;Springfield
KD-16495;28314;Fayetteville
LH-17155;75081;Dallas
AG-10675;28540;Jacksonville
DB-13120;94122;San Francisco
ED-13885;92037;San Diego
MC-18100;19140;Philadelphia
BM-11785;14609;Rochester
EM-14065;28540;Jacksonville
DA-13450;77095;Houston
MO-17800;78207;San Antonio
JW-15955;94601;Oakland
VW-21775;94122;San Francisco
TT-21460;76106;Fort Worth
SL-20155;77095;Houston
RM-19375;77095;Houston
MB-18085;19143;Philadelphia
AG-10900;92105;San Diego
ML-17755;23434;Suffolk
CC-12685;27405;Greensboro
SC-20770;75081;Dallas
GG-14650;60623;Chicago
MY-18295;21215;Baltimore
DP-13000;90004;Los Angeles
BD-11770;10011;New York City
CB-12535;2038;Franklin
JE-15610;53209;Milwaukee
RP-19855;53142;Kenosha
RA-19915;10011;New York City
RP-19390;53711;Madison
TB-21175;77041;Houston
BE-11455;66062;Olathe
MR-17545;10024;New York City
RM-19375;95123;San Jose
JF-15565;75081;Dallas
AS-10135;98002;Auburn
JA-15970;19134;Philadelphia
GK-14620;90049;Los Angeles
PB-19210;74133;Tulsa
HK-14890;60610;Chicago
FO-14305;22801;Harrisonburg
BT-11680;43055;Newark
SP-20620;90045;Los Angeles
LL-16840;98105;Seattle
MC-17575;90036;Los Angeles
JL-15235;60623;Chicago
EA-14035;60623;Chicago
SA-20830;97756;Redmond
CH-12070;27604;Raleigh
ND-18460;31204;Macon
BS-11755;44105;Cleveland
SL-20155;74403;Muskogee
GB-14530;28110;Monroe
AS-10045;78745;Austin
RM-19375;6450;Meriden
NH-18610;30076;Roswell
BF-10975;28205;Charlotte
KH-16330;42104;Bowling Green
FA-14230;78207;San Antonio
GW-14605;98115;Seattle
DA-13450;20016;Washington
FH-14275;90004;Los Angeles
RK-19300;46614;South Bend
FM-14215;90032;Los Angeles
AC-10420;77041;Houston
JB-15400;6010;Bristol
GM-14440;10009;New York City
RF-19840;78207;San Antonio
NC-18625;80013;Aurora
NG-18355;43055;Newark
AH-10075;89015;Henderson
CH-12070;19143;Philadelphia
CC-12145;98103;Seattle
ME-18010;94122;San Francisco
BP-11230;99207;Spokane
MP-17470;43229;Columbus
CJ-12010;11561;Long Beach
JC-15775;78207;San Antonio
CK-12760;32216;Jacksonville
LF-17185;10011;New York City
CC-12430;19143;Philadelphia
DL-12865;76248;Keller
PG-18895;94122;San Francisco
EH-14005;33012;Hialeah
TB-21520;45014;Fairfield
DK-13225;92646;Huntington Beach
JP-15520;32127;Port Orange
CD-11980;97504;Medford
AS-10090;22901;Charlottesville
JO-15280;59801;Missoula
AC-10450;55407;Minneapolis
RA-19945;33178;Miami
Co-12640;29501;Florence
DW-13480;48205;Detroit
DK-12835;97477;Springfield
MD-17860;46203;Indianapolis
RP-19855;32712;Apopka
RW-19540;90008;Los Angeles
DB-13660;11572;Oceanside
SC-20770;90008;Los Angeles
FH-14275;77041;Houston
EH-13990;30076;Roswell
AS-10630;33437;Boynton Beach
HA-14905;2038;Franklin
CH-12070;48227;Detroit
EH-13765;13601;Watertown
MZ-17515;19601;Reading
SC-20230;76017;Arlington
NP-18325;92024;San Diego
GM-14680;90045;Los Angeles
RH-19495;80219;Denver
VM-21685;98105;Seattle
CC-12670;85254;Scottsdale
SV-20365;70506;Lafayette
NP-18685;94109;San Francisco
JE-15715;80020;Broomfield
CP-12085;62301;Quincy
EA-14035;75007;Carrollton
AC-10615;10009;New York City
RW-19690;65807;Springfield
DB-13210;7501;Paterson
BD-11320;74133;Tulsa
ML-17755;60623;Chicago
